4485245
/m/0c50qm
/m/0c50qm
Tom Stoppard

a 9
able 1
about 1
actors 1
actually 1
adam 7
again 1
alex 1
alternative 1
always 1
amateurs 1
an 1
and 11
are 3
as 4
assisted 1
at 1
attempt 1
back 1
both 1
brilliant 1
but 1
by 3
cabin 1
captain 1
castle 1
cognac 1
comedy 2
comfort 1
composer 1
continue 1
convince 1
courtesy 1
cruise 1
declaration 1
declares 1
delayed 1
despite 1
dimwitted 1
dodo 1
dvornichek 2
embarked 1
ending 1
ever 1
fear 1
find 1
fish 1
for 6
from 1
gags 1
gain 1
gal 2
go 1
has 1
hatches 1
have 1
having 1
he 1
him 1
his 3
hope 1
horror 1
impedimenthe 1
in 1
inability 2
include 1
indefinitely 1
inserted 1
inspiration 1
into 1
is 3
italian 1
ivor 5
just 1
keep 1
legs 1
life 1
liner 1
listens 1
long 1
love 2
many 1
monologue 1
musical 1
must 1
natasha 5
navratilova 1
near 1
nearlyfinished 1
new 2
newest 1
night 1
not 1
ocean 1
of 8
often 1
on 2
one 1
only 2
or 1
others 1
overheard 1
pair 1
pathetic 1
peculiar 1
plan 2
play 2
played 1
playwrighting 1
playwrights 2
reunited 1
revelations 1
running 1
sandor 1
scene 2
script 1
scripts 2
sea 1
sending 1
sentence 1
ship 2
so 1
sometimes 2
song 1
speech 1
ss 1
stage 1
starting 2
stay 1
stays 1
steward 1
storm 1
straight 1
surprise 2
take 1
that 1
the 15
their 5
them 1
they 4
thrust 2
to 10
transatlantic 1
trouble 1
turai 6
turbulent 1
unconventional 1
unfortunately 1
until 1
up 1
upon 1
upright 1
version 1
very 1
was 1
what 1
when 1
whole 1
with 2
writing 1
