10405324
/m/02qbx6h
/m/02qbx6h
Ben Elton
2006
11th 1
2050 1
a 4
accompanied 1
ageing 1
agrees 1
all 1
and 6
any 1
around 1
as 2
assumed 1
at 2
be 1
beautiful 1
ben 1
beryl 2
bet 1
bitchy 1
blenheim 2
blenheims 1
book 1
both 1
brainchild 1
but 2
by 3
calvin 2
can 1
career 1
cash 1
challenge 1
chart 3
clash 1
climax 1
coping 1
cowell 1
daughters 1
divorce 1
drugaddled 1
during 1
either 1
elton 1
end 1
english 1
everybody 1
extravagant 1
facing 1
final 1
flagging 1
flame 1
former 1
hardback 1
he 2
helms 1
her 2
him 2
his 3
hit 1
if 1
in 2
interest 1
iona 1
is 4
it 1
judge 1
judging 1
latest 1
leave 1
life 1
manage 1
manager 1
mean 1
meanwhile 1
new 1
novel 1
occurrences 1
of 13
old 1
one 1
or 1
own 1
paperback 1
part 1
pop 3
priscilla 1
programme 2
public 1
reach 1
reality 4
released 1
results 1
revive 1
revolves 1
rig 1
rockstarturnedtranssexual 1
rodney 2
role 1
root 1
said 1
scripted 1
search 1
serenity 1
series 3
she 3
show 2
simms 1
simon 1
some 1
star 4
stories 1
story 1
style 1
taking 1
that 2
the 22
their 1
these 1
throb 3
to 3
trying 2
tv 3
wants 1
was 3
whilst 2
who 1
wife 2
will 2
with 1
without 1
work 1
year 1
