2823228
/m/084zks
/m/084zks
Lorenzo Carcaterra

{"/m/0lsxr": "Crime Fiction", "/m/02xlf": "Fiction"}
age 1
american 1
an 3
and 1
at 1
battle 1
become 1
bronx 1
canceling 1
capri 1
city 4
constant 1
contact 1
cop 1
crime 1
crimeridden 1
day 1
east 1
educated 1
exchange 2
families 1
fifteen 1
for 2
giancarlo 3
goes 1
grows 1
has 1
her 1
him 1
his 5
holiday 1
in 3
is 2
island 1
italian 2
lo 1
manhattan 1
manto 1
missing 1
mother 1
naples 1
native 1
never 1
niece 1
nyc 1
of 3
on 1
one 1
ongoing 1
organized 1
paradise 1
poverty 1
raised 1
resulting 1
returns 1
search 1
sleeps 1
southern 1
story 1
streetwise 1
that 1
the 7
then 1
to 5
trip 1
up 1
who 2
widowed 1
with 3
within 1
yet 1
young 1
