2490006
/m/07hjq4
/m/07hjq4
James Howard Hatfield
1985
{"/m/06wkf": "Spy fiction"}
007 2
a 3
against 1
agent 1
aided 1
american 1
an 1
and 3
armed 1
as 2
assassin 1
battles 1
begins 1
bill 1
billionaire 1
bloodcurdling 1
bond 3
book 1
buddy 1
but 1
by 3
cia 1
confederate 1
deadly 1
death 2
disobeys 1
doberman 3
drug 1
duel 1
elusive 1
enraged 1
felix 1
follows 1
fortress 1
friend 1
full 1
germansouth 1
get 1
great 1
hands 1
has 1
he 1
head 1
heavily 1
high 2
his 6
in 5
is 3
james 1
kingpin 1
klaus 3
lady 1
leiter 1
lethal 1
liquidate 1
lord 1
lotta 1
love 1
luscious 1
madres 1
mexican 1
most 1
murder 1
must 1
new 1
ninja 1
novel 1
of 2
offers 1
official 1
old 1
orders 1
oriental 1
pitted 1
revenge 1
russian 1
ruthless 1
sadist 1
saga 1
secret 1
sierra 1
sliteyed 1
spy 1
style 1
synopsis 1
tanner 1
the 6
this 2
thriller 1
to 1
voltage 1
who 2
with 1
