11841102
/m/02rv71s
/m/02rv71s
John Godber

a 6
about 1
accept 1
adversity 1
an 1
and 3
any 1
are 2
arms 3
arthur 2
be 1
beat 1
become 1
bets 1
bye 1
can 2
coach 1
cobblers 2
come 1
competition 2
corrupt 1
defeat 1
england 1
expro 1
final 1
followed 1
four 1
from 1
given 1
happens 1
have 3
he 2
hears 1
help 1
his 2
however 1
hull 1
in 5
inept 1
it 1
just 1
kingston 1
league 2
lies 1
life 2
manager 1
men 1
muster 1
of 6
only 2
passions 1
pitifully 1
play 1
pride 1
pub 3
record 1
reg 1
rugby 2
savings 1
set 1
sevens 1
side 1
story 1
struggle 1
team 4
that 1
the 9
their 2
them 1
they 3
through 1
to 6
train 1
triumphant 1
unbroken 1
unfit 1
up 1
upon 1
welch 1
wheatsheaf 2
when 1
where 1
who 1
whose 1
wife 1
with 1
woman 1
