569241
/m/02r0b3
/m/02r0b3
Neal Stephenson
2004
10 1
1702 1
3 1
a 37
able 1
academy 1
across 1
actually 1
adopted 1
africa 1
after 1
aftermath 1
against 1
agent 1
agrees 1
ahmedabad 1
aims 1
algiers 1
allowed 1
america 1
americas 2
amsterdam 1
an 6
and 38
animal 1
another 1
any 1
arcachon 1
are 8
armies 1
army 1
as 8
at 3
ath 3
attempt 1
attempts 1
author 1
avenge 1
awakened 1
away 1
back 1
bank 1
barfleur 1
bart 1
battles 1
be 4
because 1
becomes 1
been 4
before 3
beginning 1
begins 1
behavior 1
believed 1
believing 1
bench 1
between 1
black 1
blackmail 1
blackout 1
boarding 1
bob 2
body 1
bonanza 2
book 2
both 1
bright 1
bringing 1
british 1
but 7
buy 1
by 14
cabal 12
cairo 3
call 1
called 1
campaign 1
can 3
capture 3
captured 2
cargo 1
caroline 2
carries 1
carry 2
central 1
characters 1
charlotte 3
cheat 1
child 1
christened 1
close 1
combined 1
come 1
commerce 1
committing 1
concedes 1
conceives 1
confined 1
confronts 1
construction 1
controlled 1
convince 1
correspondence 1
country 1
court 1
create 1
creates 1
crew 2
cripple 1
cryptographer 1
cut 2
cuts 1
darcachon 9
daughter 1
davaux 4
de 4
dealt 1
death 1
decade 1
deceit 1
decision 1
derive 1
dies 1
diplomat 1
director 1
directs 1
discovering 1
disguise 1
dispersed 1
distractions 1
do 1
douard 1
double 1
dowerhouse 1
duc 9
duchess 2
duke 1
dunkerque 1
durable 1
during 2
earlier 1
earned 1
east 1
economy 1
edmund 2
efforts 1
egypt 1
eleanor 2
electress 1
eliza 16
employ 1
enabling 1
endeavor 1
ends 2
enemy 1
engages 1
england 4
enlist 1
enslaved 2
ensues 1
entities 1
escape 2
establish 1
europe 1
european 2
ever 1
everything 1
exact 1
exiled 1
expected 1
explaining 1
faked 1
family 2
far 1
fatio 1
fetches 1
few 1
fight 1
fighting 1
financial 1
find 2
finds 1
first 1
fleeing 2
followed 1
follows 1
fooled 1
for 11
forces 1
form 1
forms 1
fortune 2
france 2
freedom 1
frees 1
french 3
friend 2
friendship 1
frigate 1
from 9
fruitless 1
full 1
fund 1
funds 1
galleon 2
galley 1
george 1
gex 1
girl 1
gold 7
good 1
goods 1
got 1
guard 1
hacklheber 2
had 11
half 1
hand 1
hands 1
hanover 1
has 2
having 1
he 4
head 4
help 2
her 13
here 1
high 1
him 6
himself 1
his 10
hogue 1
hospital 1
house 2
how 2
however 2
husband 2
ii 1
iii 1
illegally 1
illegitimate 1
impoverished 1
imprison 1
imprisoned 2
in 34
increasingly 1
indefinitely 1
india 3
inducement 1
infected 1
infecting 1
influence 1
inquisition 1
intention 1
interest 1
into 1
invade 1
invasion 1
invested 1
investment 1
investor 1
invitation 1
involving 1
ireland 1
is 12
isle 1
it 5
items 1
its 3
iv 1
jack 19
james 1
japan 1
jean 1
job 1
john 1
juncto 3
kidnapped 1
kill 2
killed 1
kills 1
king 5
kingdom 1
kingship 1
knees 1
la 1
laden 1
land 1
later 1
learns 2
leave 1
left 1
leibniz 3
letter 2
leverage 1
life 2
lives 1
loaning 1
local 1
logic 1
london 2
longer 1
loss 1
lothar 1
louis 1
lover 3
lucky 1
made 2
maintain 1
making 1
man 3
manages 1
maneuvers 1
manipulations 1
marriage 1
marries 1
massachusetts 1
meet 1
meeting 2
meets 1
member 1
members 5
men 1
mercury 3
metals 1
mill 1
minerva 5
mines 1
mint 3
mocha 1
monetary 1
mother 1
motley 1
move 1
musketeers 1
natural 1
nearly 1
need 1
negotiates 1
newlyformed 1
newton 5
next 1
no 2
not 2
novels 1
of 55
off 3
offer 1
offers 1
old 1
on 3
one 2
only 1
opening 1
opens 1
orange 1
order 3
orders 1
original 1
other 2
out 3
over 8
owner 1
pacific 1
part 1
participate 1
party 1
pasha 1
pays 1
penniless 1
phosphorus 1
pirate 3
plan 2
planned 1
plans 1
plot 1
plots 1
plotting 1
plunderers 1
port 1
portion 1
possession 1
precious 1
preparations 1
president 1
prevent 1
price 1
princess 2
produce 1
profit 1
pronounced 1
prussia 1
prussian 1
publication 1
queen 3
quicksilver 1
qwghlm 3
realizes 1
realizing 1
receives 1
recruited 1
refocuses 1
reform 1
reign 1
reignite 1
relationship 1
rest 1
retaliation 1
return 2
reunites 1
revealed 1
revenge 1
rewarded 1
role 1
rossignol 2
route 2
royal 1
ruining 1
rush 1
sacking 1
sail 1
sails 1
sans 1
sciences 2
second 2
secretly 1
seize 1
seized 1
separate 1
series 2
several 2
shaftoe 3
she 7
ship 3
shipped 1
short 1
show 1
shows 1
silver 5
sinks 1
slave 1
smallpox 2
so 1
society 2
sole 1
some 1
son 2
soon 2
sophia 3
sophie 1
spanish 4
sponsor 1
steel 1
story 2
succeed 1
suicide 1
survives 1
survivors 1
syphilitic 1
takes 2
teak 1
temporary 1
than 1
that 7
the 106
their 6
them 3
themselves 1
theory 1
there 2
they 12
this 4
though 1
three 1
threeyear 1
through 4
tienne 1
time 1
to 45
torrent 1
tortured 1
toward 1
tower 1
trade 4
traders 1
trades 1
transport 1
trap 1
true 1
turns 2
two 2
ultimately 1
under 3
unstable 1
up 2
upon 4
urging 1
urine 1
use 3
using 1
vagabonds 1
valuable 1
vast 1
viceroy 1
volumes 1
von 1
vrej 2
war 1
was 4
watered 1
waterhouse 3
way 3
wealthier 1
wealthy 1
welcome 1
well 1
where 2
which 1
while 1
who 9
whom 3
whose 1
widow 1
will 1
william 2
wishes 1
with 15
wood 1
work 1
working 2
wronged 1
xiv 1
year 1
years 2
