8288359
/m/026z48z
/m/026z48z
Mary Renault
1981-11
27 1
286 1
31 1
310 1
315 1
316 1
317 1
318 1
320 1
321 1
322 1
323 1
a 6
acclaimed 1
advance 2
against 3
aged 1
agreement 1
alexander 9
alexandria 3
alketas 1
ambitious 1
an 2
and 25
antigonos 2
antipatros 2
appeals 1
appointed 1
appoints 1
are 1
army 1
arrhidaios 8
arridaiosarybbas 1
arrival 1
as 7
assassinated 1
at 1
athens 2
away 1
babylon 2
back 1
bagoas 2
bc 12
be 2
become 3
becomes 2
behind 1
being 1
biblicalstyle 1
bier 1
book 2
both 1
brother 1
but 4
by 4
carried 1
cassander 1
celebrated 1
chapters 1
children 1
city 2
civil 1
claim 1
clan 1
colleague 1
commit 1
commonly 1
complete 1
completes 1
consummated 1
coregents 1
craterus 1
crosses 1
crown 1
cruel 1
crushes 2
daring 1
darius 1
daughters 1
death 2
decide 1
dedicates 1
defeats 2
delays 1
depose 1
deposes 1
dies 2
disaster 1
disease 1
dispute 1
dodona 1
down 1
drives 1
eastward 1
egypt 2
elderly 1
eumenes 4
eurydike 8
events 1
evil 1
executed 1
fight 1
flees 1
for 6
forces 1
from 3
frustrated 1
games 1
golden 4
great 2
greatly 1
greeks 1
have 1
he 2
hearing 1
heir 1
help 2
her 5
herself 1
him 2
himself 1
his 6
horrible 1
imperative 1
imprisons 1
in 11
inconvenient 1
infuriated 1
invades 1
invasion 1
is 7
isaurians 1
it 1
iv 2
join 1
joint 1
kassandros 8
kills 1
king 3
kings 1
known 1
knows 1
krateros 1
kynna 2
largest 1
leadership 1
left 1
lies 1
lieutenants 1
likely 1
lyceum 1
macedon 3
macedonians 1
march 1
marches 2
marriage 1
marries 1
marry 1
meleager 1
menstrual 1
molossia 1
monstrous 1
more 1
mother 1
much 1
mummy 2
murders 4
navy 1
new 1
news 1
nikanor 1
nominal 1
not 1
of 15
olympias 6
on 2
oneeye 1
out 1
over 1
own 3
passes 2
peithon 1
perdikkas 5
period 1
pharaoh 1
phillip 2
plan 1
plans 1
polyperchon 3
prearranged 1
propspers 1
ptolemy 5
queen 1
reach 1
receive 1
refuse 1
refute 1
regency 1
regent 4
relatives 1
relocated 1
relocating 1
revolt 1
right 1
roman 1
roxane 4
royal 1
scepter 1
sea 1
seeking 1
seeks 2
seize 1
seizes 1
sends 1
she 1
shfuneral 1
slanders 1
slows 1
so 1
son 3
southern 1
spirit 1
spring 2
stoning 1
successor 1
suicide 1
summer 1
supplied 1
surpassing 1
survives 1
takes 1
tells 1
tent 1
that 2
the 36
their 4
them 2
they 1
this 1
threatens 1
throne 3
titles 1
to 16
together 1
too 1
tortures 1
total 1
tow 1
towards 1
unborn 1
under 1
unopposed 1
victims 1
visits 2
wants 1
war 2
whole 1
whom 1
with 6
world 1
writing 1
years 1
yetunborn 1
