6870390
/m/0gtjkt
/m/0gtjkt
Vikram Seth
1994-03-01
{"/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel", "/m/05hgj": "Novel"}
1 2
134page 1
152 1
18 1
1yearold 1
2 1
3 1
4 1
5 1
a 15
abolition 1
about 5
academic 1
affairs 1
again 2
along 1
alternatively 1
amit 1
and 12
animosity 1
around 1
arrange 1
arun 1
as 2
at 1
back 1
backdrop 1
banares 1
based 1
be 1
beginning 1
begins 1
between 2
boy 4
brahmpur 3
brother 1
by 3
calcutta 1
caste 1
centres 1
characters 1
choice 1
cities 1
college 1
colourful 1
coming 1
contents 1
couplet 1
courtesan 1
covers 1
daughter 2
delhi 1
described 1
determined 1
different 1
divided 1
each 2
earnest 1
eclipse 1
efforts 1
election 1
emerging 1
empowerment 1
epic 1
etc 1
eventually 1
examinations 1
example 1
faced 1
families 1
featuring 1
feudal 1
fictional 1
first 1
focussing 1
follows 1
for 3
forced 1
forms 1
four 1
further 1
ganges 1
girl 1
haresh 2
have 1
heart 1
her 6
hindumuslim 1
importance 1
in 4
including 2
independent 1
india 3
indian 1
influenced 1
inter 1
intersectarian 1
into 1
intrafamily 1
is 12
issues 3
it 2
jatav 1
kabir 1
kanpur 1
kapoor 1
land 2
landlords 1
lata 4
leading 1
located 1
love 1
lower 1
maan 1
major 1
make 1
marriage 1
marry 1
mehra 1
months 1
mother 2
mrs 1
muslim 1
national 2
newly 1
not 2
novel 6
of 14
offers 1
on 5
one 1
opinionated 1
other 1
over 1
own 1
page 1
part 7
parts 1
patna 1
peoples 1
period 2
political 2
postindependence 3
postpartition 1
princes 1
range 1
reform 1
reforms 1
relations 1
revolves 1
rhyming 1
round 1
rupa 1
satirical 1
scene 1
searches 1
set 2
she 1
simply 1
status 1
stories 1
story 6
strife 1
strong 1
subplot 1
such 1
suitable 4
suitors 1
system 1
the 24
this 1
to 6
town 1
up 1
various 1
vulnerable 1
way 1
with 3
women 1
yet 1
young 1
younger 1
zamindari 1
