14203201
/m/03cxprs
/m/03cxprs
David Mamet


1 1
1th 1
2 1
3 1
4 1
a 39
abilities 1
able 2
about 2
act 4
admits 1
advice 1
advises 1
ago 1
all 1
allegedly 1
alludes 1
also 1
although 1
amateur 2
ambition 1
an 3
and 15
answers 1
appointment 2
argument 1
as 5
asks 1
because 1
been 1
being 1
between 1
boston 2
both 1
breakthrough 1
burnt 1
but 3
by 4
came 1
caring 1
cast 1
century 1
charlatans 1
charles 9
childhood 1
claims 1
clarification 1
clients 1
compromise 1
concerning 1
concert 1
contact 2
contacts 1
contest 2
could 1
customers 1
day 3
deceased 1
decide 1
declaring 1
description 1
detailed 1
details 1
devise 1
died 1
discussing 1
do 1
draped 1
driven 1
elaborates 1
ethics 1
evening 1
experience 1
explains 1
exposes 1
fake 1
farewell 1
fiction 1
fifties 1
finally 2
financial 1
fit 1
five 1
following 2
for 5
fraud 1
from 2
genuine 3
gets 1
give 3
gives 1
greed 1
had 2
has 1
have 3
having 2
he 6
heated 1
held 1
helping 1
her 12
him 1
his 10
hold 1
homosexual 1
honest 1
honestly 1
how 2
however 2
in 10
inheritance 3
insight 1
instructed 1
into 1
intrigued 1
introduces 2
is 13
it 1
john 21
just 1
lamp 1
last 1
late 1
learn 1
leaves 1
left 1
like 1
living 1
look 1
lost 1
made 1
make 1
making 1
man 2
matters 1
may 2
miss 19
more 3
mother 9
nature 1
nobody 1
of 12
offers 2
office 1
on 3
one 1
out 1
particular 1
parting 1
payment 1
personal 1
photo 3
photograph 1
place 3
plan 3
prepared 1
pressures 1
pretend 1
pretends 1
previous 1
profession 2
protg 1
psychic 5
puts 1
question 1
questionable 1
questioned 1
rage 1
ready 1
recently 1
red 2
regarding 2
relationship 1
research 1
revealing 1
saw 1
seance 3
seeks 1
shadow 1
shawl 6
she 9
should 1
shows 2
side 1
sing 1
sleep 1
smokeandmirror 2
so 1
storm 1
takes 3
techniques 2
telling 1
test 1
tested 1
that 7
the 30
their 1
them 4
then 1
they 2
thirties 2
this 2
throughout 1
to 21
towards 1
tricks 2
turn 1
two 1
untapped 1
up 2
upon 1
us 2
uses 3
usual 1
vision 3
want 1
wants 1
was 2
ways 1
what 2
when 2
whereas 1
while 1
who 1
whose 1
will 4
willing 1
wished 1
with 5
woman 5
would 1
years 2
young 1
