2998974
/m/08jp5k
/m/08jp5k
Dav Pilkey
1999
100 1
a 16
able 1
about 1
accidentally 1
after 4
alien 1
aliens 8
all 1
almost 1
although 1
and 33
antics 1
antievil 2
any 1
anything 1
apply 1
are 3
as 11
at 1
away 2
back 2
badly 1
baking 2
batch 2
be 1
becomes 1
before 2
begins 1
bent 1
birthday 2
blame 1
book 1
boys 4
but 2
by 5
cafeteria 3
can 1
cannot 1
cape 2
captain 9
carton 1
cell 1
claiming 1
class 1
come 1
confront 1
contents 1
convincing 1
course 1
created 1
crime 1
cupcake 1
cupcakes 1
dandelion 3
day 1
decide 2
defeat 2
despite 1
destruct 1
did 1
disguised 3
doesnt 1
duo 1
earlier 1
earth 1
eat 2
effects 1
end 1
ends 1
entire 1
escape 1
even 1
everyone 2
evil 2
except 1
explains 1
explodes 1
extrastength 1
extrastrength 1
fact 1
fake 1
feed 1
fight 1
finding 1
flies 1
flooded 1
food 1
for 8
forces 1
from 2
fuel 1
furious 2
george 12
giant 2
give 1
gives 1
giving 1
gloat 1
go 2
goop 1
green 1
growth 5
gun 2
hanging 1
happened 1
harassment 1
harold 11
has 3
have 1
he 5
him 1
hires 1
his 2
however 1
humans 1
immediately 1
impossibility 1
in 6
incident 1
inside 1
instantly 1
instead 1
instructions 1
intended 1
into 10
involves 1
is 3
it 2
jennifer 3
job 1
juice 12
jumps 1
kills 1
klax 3
knows 1
krispy 1
krupcakes 1
krupp 15
labels 1
ladies 7
land 1
landing 1
large 1
learn 2
lock 1
lunch 8
lunchroom 1
mache 1
make 3
making 1
mean 1
meanwhile 1
messing 1
milkshakes 1
minions 1
mixed 1
mixes 1
mixing 2
monsters 1
most 1
mr 15
mutated 1
my 1
nasty 1
near 1
needs 1
nerd 4
nerds 3
new 1
next 1
normal 1
not 2
noted 1
notice 1
of 11
off 1
office 4
on 5
one 1
onto 1
out 3
over 2
paper 3
parachute 1
past 1
permanently 1
physical 1
plan 2
play 1
pour 1
power 3
powers 2
prank 1
privileges 1
prompting 1
proof 2
prove 1
punish 1
punishment 1
putting 1
quit 1
rapid 1
rather 1
recipe 3
reluctantly 1
responsible 1
result 2
returned 1
roof 2
rootbeer 1
run 1
safety 1
school 7
science 1
self 1
selfdestruct 2
set 1
signs 1
size 1
snaps 1
sneaking 2
so 2
soda 2
some 1
something 1
soon 1
spaceship 3
spray 2
staff 1
steal 2
still 1
students 1
such 1
super 4
support 1
surprise 1
suspecting 1
swing 1
switch 1
take 1
takes 1
taking 1
tank 1
teacher 1
temporarily 1
tentacle 1
than 1
that 10
the 64
their 3
them 6
then 1
they 7
three 5
time 1
times 1
to 19
together 1
toilet 2
transform 1
tricking 1
turn 1
turning 3
two 1
ultra 1
ultranasty 1
unable 1
underpants 9
up 1
use 2
vacant 1
very 2
vinegar 2
volcano 1
was 1
wasnt 1
way 1
weight 1
well 2
what 1
which 3
while 1
who 1
window 2
with 10
world 1
wrong 1
zombie 7
zorx 3
