20874302
/m/0557lq8
/m/0557lq8
David Weber
2009-02
a 53
aboard 2
about 3
act 2
actions 1
activated 1
actually 3
administrator 1
admiral 12
admirals 1
adopted 1
advantage 2
adversary 1
after 6
afterward 1
again 1
against 5
aggression 2
aircar 1
aivars 1
ajax 4
albrecht 1
aldonna 1
alignment 3
all 11
almost 1
also 2
although 1
ambush 1
amount 1
an 9
and 63
anisimova 1
anisimovna 1
annexation 1
annexed 1
another 2
antimanticoran 1
antimissile 1
any 1
anything 1
apparently 2
appears 2
approach 2
approaches 1
approaching 1
archenemy 1
are 13
area 1
around 3
arrival 1
arrive 2
arrives 1
arrogance 1
arrogant 1
as 23
asks 1
assault 2
assaults 1
assembles 1
assigned 1
assumes 1
at 9
attack 5
attacked 2
attempt 2
attempted 1
attitude 1
automatically 1
away 1
back 3
basis 1
battle 1
battlecruisers 1
bays 1
be 11
become 3
becoming 1
been 3
before 3
begins 2
being 2
believed 1
believes 3
believing 2
between 9
beyond 1
binding 1
blatantly 1
blow 1
bluff 1
board 1
boarding 1
boat 2
book 4
both 1
break 1
build 1
bureau 1
but 2
by 18
byng 16
cadre 1
can 3
cannot 2
capabilities 2
capability 2
capable 1
capital 1
capitol 1
captain 2
catching 1
cause 1
caused 1
centuries 1
chance 1
changes 1
character 1
charged 1
check 1
chief 1
circle 1
cliffhanger 1
climax 1
clones 1
close 1
cluster 3
combat 1
come 3
comes 1
comfort 1
comfortable 1
command 6
commanded 1
commander 3
commanding 1
company 1
comparable 1
complain 1
complete 1
completely 7
complies 1
confesses 1
conflict 8
considerably 1
considers 1
continues 1
control 3
convenient 1
conventional 1
conversation 1
convinces 3
corner 1
corporation 1
costs 2
could 2
counter 1
covert 1
crew 2
crisis 1
crown 1
cruiser 1
current 1
damage 2
damaged 3
daring 1
day 1
dead 1
deal 1
dealing 1
dealt 3
declined 1
deep 1
deepstrike 1
defeat 1
defense 2
defenses 1
defensive 2
deficit 1
deliberately 1
demands 1
deploy 1
deployment 1
desperate 1
despite 1
destroy 2
destroyed 4
destroyers 4
destroying 1
destroys 1
destruction 2
detonations 1
detweiler 3
devastating 3
develops 1
device 1
devices 1
devoted 1
did 1
dilemma 1
dinner 1
diplomatic 1
direct 1
discovered 1
discovers 2
discuss 1
discussing 1
dispatched 1
distant 1
distracted 1
distress 1
do 2
does 1
domination 1
dossier 1
down 1
dreadnoughts 1
drive 1
during 3
each 2
earlier 1
effort 1
eighth 5
elimination 1
