3868122
/m/0b4441
/m/0b4441
Harry Turtledove
2006-07
{"/m/0mz2": "Alternate history", "/m/06n90": "Science Fiction"}
a 14
able 3
abner 1
action 1
active 1
administrator 1
advance 2
again 1
against 2
ahead 1
air 3
alaskan 1
all 1
allegiances 1
also 1
although 1
american 4
americans 1
among 3
an 2
and 27
angered 1
any 1
appears 1
are 10
argentina 1
arkansas 1
arms 1
army 1
aroused 1
arrive 1
artillery 1
as 4
asks 1
at 8
atlantic 2
attack 3
attacks 1
attempts 2
attorney 1
austrian 1
back 1
backandforth 1
bands 1
bases 1
battle 1
battleground 1
battles 1
be 4
been 2
before 1
beginning 1
being 1
bent 1
bermuda 1
between 3
black 2
blacks 4
blunder 1
bomb 4
bombing 1
both 4
brigadier 1
british 2
brought 1
build 1
but 5
by 2
camp 3
campaign 1
canada 1
canadian 2
capital 1
cars 1
castro 1
cattle 1
center 1
chambers 1
characters 1
charles 1
chattanooga 2
chihuahua 1
clarence 1
commanding 1
concentrate 1
condemned 1
confederacy 1
confederate 12
confederates 2
considerable 1
construction 1
continue 2
continues 4
costly 1
counterattack 1
countryside 1
crowded 1
cuba 1
cut 1
cutting 1
damage 2
dealing 1
debate 1
defence 1
defiant 1
deporting 1
desire 1
desperate 1
desperately 1
despite 2
determination 2
did 1
die 1
difficult 1
disposal 1
distant 1
divert 1
does 2
dowling 2
down 1
drawn 1
drive 1
driving 1
due 1
east 1
eleventh 1
ends 1
engages 1
enormous 1
enough 2
europe 1
exact 1
extermination 3
faith 1
featherston 7
ferdinand 1
fidel 1
fight 1
fighting 4
finally 1
find 2
fission 1
follette 1
food 1
for 4
forces 9
fought 1
french 1
from 7
full 1
fully 1
further 1
futile 1
gained 1
gas 1
general 6
generals 1
george 1
georgia 3
german 1
germany 1
goal 1
government 1
gradually 1
graves 1
ground 1
guerrilla 1
guerrillas 1
had 2
hand 1
hardfought 1
has 1
having 3
he 1
heavier 1
heavy 1
held 1
him 1
hints 1
his 5
hold 1
hope 1
horribly 1
however 1
ie 1
imperial 1
important 1
improved 1
in 27
increase 1
increasingly 1
india 1
initially 1
inmates 1
innumerable 1
instincts 1
irish 1
irreplaceable 1
irving 1
is 10
island 1
islands 1
it 3
jake 2
japanese 2
jefferson 1
justified 1
kentucky 1
kind 1
kingdom 1
koenig 2
la 1
land 1
largely 1
launch 3
launches 1
less 1
lexington 1
light 1
lives 1
long 1
longrange 1
lookout 1
losses 2
made 1
making 2
malaya 1
marginal 1
mass 1
matches 1
meanwhile 3
midway 1
might 1
military 1
missionary 1
morality 1
morell 1
mormon 1
mormons 1
morrell 1
most 2
motivated 1
mountain 1
move 1
much 1
murder 1
murderers 1
must 1
nascent 1
naval 2
navy 1
necessary 1
negroes 1
negrofree 1
neither 1
north 1
not 5
nothing 1
now 1
nuclear 3
numerous 1
ocean 1
of 16
off 2
offensive 1
officers 1
often 1
ohio 2
oil 1
oklahoma 1
ominously 1
on 8
only 1
onto 1
operation 1
or 1
other 1
out 1
over 2
paratroopers 1
participates 1
patton 1
pennsylvania 1
philadelphia 1
physicists 1
pinkard 1
plan 1
possessions 2
potter 1
powers 1
president 3
pressing 1
price 1
problem 1
program 1
project 1
prompting 1
pronounced 1
proves 1
psychological 1
pugnacious 1
pursue 1
pushes 1
pushing 1
puts 1
quebec 1
quiet 1
quite 1
race 1
rages 1
raid 1
railways 1
rather 1
real 1
rebel 1
rebellion 3
recapture 1
recover 1
remains 1
replies 1
reply 1
republic 1
research 2
resist 1
resources 2
retake 1
richmond 1
ridge 1
rocketbombs 1
rockets 1
russian 1
russians 1
s 1
sabotaging 1
sandwich 1
save 1
scipio 1
sea 1
seeking 1
seems 5
send 1
sequoyah 1
serb 1
seriously 1
setback 1
shipments 1
shouting 1
show 1
shut 1
side 1
sides 3
since 1
single 1
situation 1
smuggles 1
some 1
sonora 1
sound 1
south 1
speech 1
squander 1
state 1
states 2
strain 1
strategic 1
strikes 1
strong 1
successful 1
support 1
suppressed 1
surrender 1
survivor 1
tactics 1
takes 1
taking 1
teenage 1
tennessee 1
tension 1
territories 1
territory 1
texas 2
than 2
that 2
the 64
their 5
them 1
there 3
they 2
third 1
this 2
threat 1
threatening 1
through 2
thus 1
time 1
to 35
too 1
top 3
total 1
transferred 2
troops 1
try 1
two 3
ukraine 1
ultimately 1
unable 1
unconditional 1
united 2
units 1
university 1
up 2
uprisings 1
uranium 2
us 9
usbacked 1
utah 3
various 1
victims 1
victory 1
virginia 3
war 4
washington 2
way 1
ways 2
weapons 2
well 1
wells 1
when 1
which 5
while 1
win 1
with 9
won 1
wonder 1
year 1
years 1
