22756099
/m/05zzpkg
/m/05zzpkg
Ali Smith
1997
a 10
actress 2
aisling 2
amy 6
an 1
and 6
apart 1
are 1
as 3
ash 3
begin 1
beginning 1
book 1
box 1
brings 1
by 1
call 1
cambridge 1
camping 1
caravan 1
caretaker 1
connected 1
countries 1
daughter 2
desires 1
dizzy 1
drifter 1
eightyear 1
end 1
england 1
fiery 1
first 1
for 1
forever 2
found 2
friend 1
friendship 1
from 1
glamorous 1
glimpses 1
ground 1
half 1
has 2
headlong 1
her 4
highlights 1
illiterate 1
in 3
interview 1
into 1
is 4
itinerant 1
its 2
journal 3
journals 1
just 1
kate 2
life 1
lives 2
mccarthy 2
mention 1
metaphor 1
more 1
mysteries 1
named 1
nearly 1
novel 1
of 8
old 3
onetime 1
opposites 1
parts 1
past 1
patchwork 1
phone 1
presentday 1
random 1
read 1
relationship 1
relief 1
rush 1
scholar 1
scotland 2
second 1
seemingly 1
set 1
settle 1
she 2
shone 1
site 1
subtle 1
tale 1
that 1
the 6
their 1
themselves 1
through 1
thrown 1
to 2
told 1
twin 1
two 2
unraveled 1
was 1
well 1
when 2
where 1
with 5
work 1
written 1
young 1
