23236264
/m/065ym11
/m/065ym11
Claudia Gray
2009-03-24
a 15
about 2
academy 1
afraid 1
after 2
again 1
against 1
agrees 2
allowed 1
allvampires 1
along 2
although 2
always 1
amherst 2
an 7
and 24
anything 2
apart 1
are 1
arrangement 1
arrive 1
arrives 1
as 4
at 5
attack 2
attacked 1
attacks 1
attempt 2
away 2
back 2
balthazar 8
base 1
be 3
beautiful 1
become 1
been 2
before 3
beginning 1
being 1
bethany 3
bianca 22
black 7
blames 1
blood 1
blue 1
boarding 1
born 1
branch 1
breaks 1
but 6
by 5
calls 1
camp 2
campus 1
can 2
cannot 3
carriage 1
catches 2
chance 1
charity 3
clan 2
come 1
coming 1
contact 1
could 2
courtney 1
cross 6
crossor 1
curious 1
dangerous 1
dating 1
day 1
decades 1
decapitates 1
deceiving 1
decides 1
despite 1
destiny 1
destroy 2
did 1
disappointed 1
discover 1
discovers 2
do 1
does 2
drink 1
each 1
erich 1
escapes 1
even 1
evernight 8
everyone 1
evil 1
exact 1
exclusive 1
facetoface 1
fell 1
few 1
find 3
finds 1
finish 1
flee 1
following 2
follows 1
for 6
force 2
forced 1
forcing 1
frightened 1
from 1
further 1
get 2
girl 6
give 1
gives 1
going 2
grounds 1
had 1
hall 1
harm 1
has 2
having 1
he 4
head 1
heads 1
help 1
her 24
him 3
his 2
hitches 1
house 1
hq 2
human 1
humans 1
hunter 1
hunters 1
identity 1
if 1
in 10
innocent 1
interrupted 1
into 2
investigate 1
is 21
it 4
join 2
joins 1
just 1
keep 1
kill 2
killing 1
kind 1
knew 1
know 2
later 1
laundry 1
leads 1
leave 2
leaves 1
leaving 2
left 1
letter 2
lies 1
life 1
light 1
live 1
lonely 1
looks 1
love 1
lucas 15
lucasa 1
mail 1
make 2
may 1
means 1
meet 2
meets 1
mentions 1
meteor 1
more 1
most 1
mrs 3
not 5
nothing 1
now 1
october 1
of 9
off 2
on 4
once 1
one 3
only 3
orientation 1
other 1
out 5
own 1
parents 1
part 1
patrice 1
person 1
place 1
powerful 1
prepare 1
pretend 1
pushed 1
ran 1
raquel 4
really 1
reason 2
reflection 1
refuse 1
rest 1
return 2
revealed 1
ride 1
risk 1
room 2
run 2
says 1
school 6
searched 1
secrets 2
see 2
seems 1
sees 4
separated 1
share 1
sharing 2
sharp 1
she 29
shortly 1
shower 1
since 1
sister 2
sneaks 1
so 7
someone 2
soon 1
stairs 1
staked 1
stakes 1
stalked 1
station 2
stops 1
student 1
students 1
sure 1
sworn 1
taking 1
target 1
tell 1
tells 3
that 7
the 30
their 1
them 3
then 1
there 2
they 9
think 1
thinks 3
this 2
thought 1
time 2
to 33
told 2
torn 1
train 2
tree 1
truck 1
true 1
trusted 1
truth 1
turns 2
two 1
up 2
vampire 7
vampires 2
very 1
vic 1
visit 1
volunteers 1
walk 1
walking 1
wanted 1
wants 2
was 3
watch 1
way 1
weekend 1
went 1
were 1
what 1
when 5
which 1
while 2
who 3
why 1
will 4
with 10
yet 1
young 1
