12419453
/m/02w4m1j
/m/02w4m1j
Conn Iggulden
2007-01-02
a 11
abilities 1
accepting 1
adulthood 1
advance 1
advanced 1
advancing 1
after 3
against 1
agree 1
albeit 1
all 2
alliance 1
along 1
also 1
an 3
and 18
anguish 1
approaches 1
are 1
area 1
argument 1
armies 1
army 4
arslan 2
as 2
assassins 2
assumes 3
attempt 1
baby 1
back 3
banished 1
banishes 1
battle 3
begin 1
begins 1
behter 1
bekter 1
bestows 1
bondsman 1
borte 3
brother 1
brothers 2
but 2
by 5
camps 1
captors 1
capture 1
captured 1
challenge 1
chase 1
chin 2
claim 1
claims 1
conspired 1
contest 1
control 1
crush 1
crushed 1
debt 1
dies 1
down 1
early 1
ease 1
eeluk 5
emerging 1
emissary 1
ends 1
ensure 1
establish 1
expectation 1
families 2
family 5
father 3
faultless 1
fearing 2
fend 1
feud 1
few 1
fight 1
first 1
fledgling 1
following 1
follows 1
food 1
for 4
former 1
four 1
freed 1
from 3
genghis 1
ger 2
hachiun 1
had 1
harsh 1
hasar 1
he 6
himself 2
his 14
hoelun 1
home 1
in 7
inevitable 1
injuries 1
interrogating 1
into 2
is 11
it 2
jelme 1
join 2
joined 2
joins 1
joint 1
kept 1
kerait 4
khan 6
kills 1
lands 1
lead 1
leader 1
leadership 5
leads 1
learns 2
leaving 1
life 1
looking 1
massive 1
may 1
menace 1
mongol 4
mongols 1
mother 2
much 1
murder 2
murders 1
name 1
narrative 1
new 2
odds 1
of 13
offer 1
older 1
olkhunut 3
on 3
other 2
out 1
outstanding 1
over 2
owed 1
party 1
perish 1
perished 1
pit 1
poverty 1
preparation 1
prepares 1
prisoner 1
proclaims 1
protection 1
raiding 1
raids 1
reach 1
recovering 1
repeated 1
respond 1
retailiates 1
return 1
returns 2
riders 1
ritual 1
role 1
second 1
sending 1
sends 1
sent 1
settle 1
shortly 1
show 1
sister 1
small 3
son 2
sons 1
soon 1
steppes 1
strategy 1
survived 1
tactical 1
taken 1
takes 2
tartar 6
tartars 3
temge 1
temujin 21
temulen 1
that 5
the 49
their 2
them 3
themselves 1
then 2
they 3
to 20
toghrul 4
tortured 1
trading 1
travels 1
tribe 9
tribes 1
under 1
unforgiving 1
unified 1
unsuccessful 1
upon 3
victorious 1
victory 2
wanderers 1
wandering 2
warriors 1
was 1
when 2
where 2
who 1
whom 1
wife 1
winter 1
with 7
wolf 2
wolves 3
would 1
years 1
yesugei 3
