9407999
/m/0287ncr
/m/0287ncr
Eric Flint
2006-11-28
1812 1
1815 1
1824 1
182425 1
1825 1
1838 1
a 14
able 1
abolitionists 1
accidentally 1
acts 1
actual 1
adams 1
affairs 1
after 3
afterwards 1
again 1
aid 1
aiming 1
algiers 1
all 1
american 1
an 4
and 20
andrew 2
antrim 1
are 2
arkansas 11
army 1
arrive 1
as 6
assassin 1
at 1
attack 1
au 1
away 1
baltimore 1
bank 1
banned 1
battalion 3
battle 2
became 1
become 1
before 2
begins 1
black 1
bondage 1
book 1
both 1
boundaries 1
brigade 1
british 1
brother 1
brown 2
but 1
by 8
c 1
calhoun 1
came 1
campaign 1
can 1
capital 1
castrated 1
cherokee 1
chiefdom 1
chiefdoms 1
civil 1
clay 5
coming 1
commissioner 1
composed 1
confederacy 1
continue 1
courting 1
create 1
creole 3
crittenden 1
crowell 4
declared 1
defeat 1
destroyed 1
devastating 1
driscol 2
during 1
easternmost 1
election 1
end 1
ends 1
enlist 1
establishing 1
eventual 2
exclusion 1
expedition 2
fails 1
failure 1
family 4
finances 1
finished 1
following 1
for 6
forced 2
formerly 1
free 1
freedmen 2
from 2
georgia 1
gets 1
going 1
group 1
has 1
haul 1
have 2
he 1
head 1
henry 4
him 1
himself 1
his 4
historical 1
history 2
home 1
homes 1
household 1
houston 4
however 1
if 1
in 15
incident 1
indian 2
influence 2
intact 1
intervenes 1
into 1
iron 3
is 6
jackson 2
james 1
january 1
jem 1
john 3
join 1
journey 1
judge 1
killed 1
laird 1
later 1
leadership 2
learn 1
leave 2
leaves 1
led 3
left 1
lever 1
liberal 1
like 1
line 2
loan 1
local 1
losers 1
louisiana 2
magnet 1
man 1
maria 1
maryland 1
master 1
meanwhile 1
meet 1
men 2
militia 1
mississippi 1
mob 1
mobilized 1
money 1
monroe 1
moved 1
new 4
niagara 1
nicknamed 1
novel 1
of 23
offended 1
officers 1
ohio 1
oklahoma 1
on 2
one 2
oppose 1
opposed 1
orleans 1
our 1
panhandle 1
parker 2
parkers 2
partial 1
particularly 1
party 2
pass 1
patrick 1
place 1
plan 1
political 1
politicians 1
power 1
president 1
presidential 1
quickly 1
quincy 1
race 1
real 1
rebellion 1
red 1
referred 1
regimen 1
removal 1
result 1
retaliation 1
revenge 1
rigorous 1
river 2
rivers 1
robert 1
ross 1
roughly 1
ruled 1
runaway 1
sam 2
same 1
saved 1
scott 1
secretly 1
sergeant 1
servile 1
sheffield 1
shortly 3
shot 1
signed 1
slavecatchers 3
slavery 2
slaves 1
smashed 1
sold 1
solomon 1
son 1
southeastern 1
southern 2
special 1
start 1
state 2
states 5
stopped 1
story 1
such 1
suppress 1
take 1
takes 1
ten 1
term 1
territory 2
that 4
the 59
their 4
them 3
then 1
thereafter 2
they 2
this 3
throughout 1
time 3
to 14
training 1
treaty 1
tribes 2
uncle 1
under 3
undergo 1
united 2
us 2
usa 3
uses 1
varied 1
views 1
war 4
was 3
waylaid 1
wealth 1
west 1
when 3
which 1
whites 1
who 6
wife 1
will 2
willingly 1
winfield 1
with 5
without 1
woman 1
won 1
work 1
years 1
