315188
/m/01trmg
/m/01trmg
Sinclair Lewis
1922
{"/m/06nbt": "Satire", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 25
about 4
according 1
activities 1
acute 1
admires 1
admission 1
admits 1
advertising 1
affair 2
afford 1
after 3
against 1
agree 1
ahead 1
alarm 1
all 3
alone 2
also 2
although 2
american 1
an 4
and 40
any 1
appendicitis 1
approval 1
are 1
around 2
arrest 1
arrive 1
article 1
as 7
ask 1
assemblage 1
at 5
attempts 1
attractive 1
awakened 1
aware 1
away 1
babbitt 38
back 2
bartering 1
be 3
beauty 1
because 1
become 1
becomes 1
been 5
begins 2
being 4
belonged 1
blanket 1
bohemians 2
booster 3
boosters 1
both 1
boycotting 1
brandy 1
breakfast 1
bunch 1
business 2
but 2
button 1
by 4
calling 1
camp 3
camping 1
care 1
cavorts 1
chapters 2
character 1
charles 1
chosen 1
chronological 1
citizen 1
citizens 1
class 2
classmate 1
client 1
climbing 1
clock 1
close 1
club 2
clubs 3
colleagues 1
college 2
comments 1
comparison 1
concept 1
conducts 1
conformity 3
congratulated 1
consequence 1
consider 1
construction 1
contemplates 1
continues 1
convince 1
could 1
course 1
criticized 1
cure 1
darn 1
daughter 3
day 3
decent 1
decides 1
denounce 1
description 1
despite 1
destructive 1
detailed 1
developed 1
development 1
dictates 1
dignitaries 1
dinner 3
discover 1
discovered 1
discusses 1
disenchanted 1
disgruntled 1
disillusioning 1
dispassionate 1
dissatisfaction 1
dissuade 1
do 2
doane 2
does 1
dotes 1
downs 1
dream 1
dresses 1
drives 1
dull 1
during 1
each 3
early 2
effort 1
elected 1
empathy 1
employees 1
encounters 1
encourages 1
end 1
ends 1
energy 1
entranced 1
estate 3
eternal 1
eunice 1
even 2
events 2
eventually 2
ever 1
everything 1
excursions 1
excuses 1
explained 1
extend 1
extramarital 1
f 1
faced 1
fact 1
fairy 1
falls 1
family 3
famous 1
feeling 1
feelings 1
final 1
find 1
finds 2
first 1
flappers 1
flesh 1
fold 1
follow 1
for 9
forays 1
former 2
formerly 1
found 2
founded 1
freedom 1
friend 1
friends 5
from 5
functions 1
futile 1
gather 1
george 1
georgie 1
gets 1
getting 1
girl 1
go 1
goes 1
going 1
good 4
gradually 1
group 1
grows 1
guide 1
gunch 1
had 1
happened 1
harder 1
has 6
have 3
having 1
he 25
hear 1
held 1
help 2
her 4
here 1
heroism 1
hightech 1
him 6
himself 4
his 32
hobnob 1
hold 1
home 2
hope 1
hopes 1
hosting 1
house 1
houses 1
however 2
id 1
ill 1
imagines 1
immediately 1
important 1
in 24
informs 1
intimacy 1
into 4
introducing 1
invitation 1
invites 1
is 10
it 6
item 1
its 2
jail 2
join 1
judique 2
jumps 1
just 1
kept 1
knowledge 1
ladder 1
lake 1
lead 1
league 1
leanings 1
learns 1
least 1
leave 2
leaves 1
leaving 1
less 1
letters 1
lewis 4
liberal 1
life 11
like 3
liquor 1
listener 1
litigator 1
lodges 1
lonelier 1
loneliness 1
long 1
looking 1
loses 1
lot 1
loved 1
made 1
maine 2
making 1
man 2
marker 1
marriage 1
married 1
marvel 1
mckelvey 1
mckelveys 2
meaningful 1
meaningless 1
men 1
met 1
meticulously 1
middleaged 1
millionaire 1
missing 1
more 2
morning 2
most 1
much 1
my 1
myra 3
nature 1
nearepiphany 1
neighbor 1
nervewracking 1
never 2
new 2
newly 1
night 2
nimble 1
no 2
nonconformity 1
not 5
of 28
offers 1
office 2
often 1
oh 1
old 2
older 1
on 7
once 1
one 1
only 1
opens 1
opportunity 1
optimistic 1
or 4
order 1
ostracize 1
others 1
out 3
outdoorsman 1
over 3
overall 1
own 2
paints 1
parties 1
partnerships 1
party 3
paul 10
pauls 1
pay 1
people 1
philosophical 1
plot 1
politics 1
potential 1
practical 1
presents 2
pride 1
professionally 1
prohibition 1
proof 1
proves 1
publicly 1
puts 1
quell 1
quite 2
real 3
realize 1
realizes 1
really 1
realtor 1
rebel 1
rebellion 2
reconnects 1
recovery 1
refuses 1
reisling 1
rekindling 1
relatives 1
relinquishes 1
rest 1
return 3
returned 2
reunion 1
reverts 1
reviewer 1
righted 1
rigid 1
rise 1
roommate 1
rough 1
routine 1
rugged 1
rushes 1
sales 1
scene 1
scenes 2
school 1
sees 1
seizing 1
selling 1
seneca 2
sentenced 1
sentimentality 1
series 1
seriously 1
seven 1
seventeenyearold 1
shaken 1
she 1
short 1
shortly 1
shot 1
shunning 1
