13823852
/m/03ckct3
/m/03ckct3
Spike Milligan
1971
1 1
13 1
140 2
142 2
146 1
1th 1
2 2
3 1
56th 1
8 1
a 26
ability 1
about 1
action 1
actual 1
actually 2
advises 1
after 4
airmail 1
airraid 1
alerted 1
algeria 1
all 1
allowed 2
amid 1
ammo 1
an 9
and 15
announces 1
another 1
anywhere 1
are 7
army 1
arrive 1
arrived 1
arriving 1
artillery 2
artist 1
as 7
aside 1
asked 1
asks 1
at 5
attempt 1
attempts 1
august 1
author 1
avoiding 1
band 2
bang 1
barracks 1
battery 2
bbc 1
be 4
been 1
before 2
beginnings 1
begins 2
being 2
between 1
bexhill 1
bexhillonsea 1
billeted 1
biographies 1
bl 1
board 2
book 2
boyish 1
britain 1
british 1
brother 1
bum 1
burns 1
business 1
but 1
by 3
callup 1
cant 1
career 1
casualty 1
causing 1
censored 1
certain 1
chamberlain 1
chaste 1
chater 1
church 1
cigarette 1
cleans 1
co 1
comes 1
commences 1
confesses 1
considerably 1
consists 1
containing 1
contest 1
continued 1
course 1
crews 1
cunningly 1
cut 1
cuts 1
day 1
december 1
defence 1
degree 1
describing 1
determine 1
diary 1
digging 1
disc 1
discussion 1
disrespect 1
down 1
drawings 2
drinks 1
driving 1
dud 1
dunkirk 1
duties 1
edgington 2
embassy 1
empty 1
ends 1
enemy 1
enough 1
entertain 1
entertaining 1
equipped 1
error 1
established 1
eventually 2
exceptional 1
exercise 1
extraordinary 1
face 1
faking 1
family 3
father 1
favorite 1
few 1
fight 1
find 1
fire 1
first 4
followed 1
for 8
found 1
friend 1
from 3
german 2
germany 1
gig 1
girls 2
give 2
given 1
go 1
goon 1
great 1
group 1
gunner 1
guns 2
gym 1
had 2
hall 1
hallmark 1
harry 1
has 3
have 2
he 16
head 1
heavy 1
him 2
himself 1
his 13
hitler 1
home 1
hospitalized 1
how 1
howitzer 1
humour 1
i 4
if 2
ii 1
ill 2
illustrations 1
immediately 1
impress 1
in 15
inch 1
included 2
including 1
income 1
instruments 4
intended 1
into 4
introduction 1
invasion 1
invitation 1
is 11
issued 1
it 8
itself 1
jack 1
january 1
jazz 1
jesus 1
joining 1
know 1
last 2
lasts 1
late 2
later 2
latrine 1
launches 1
learned 1
learns 1
left 2
length 1
letter 2
letters 1
licentious 1
lifelong 1
lights 1
literary 1
long 2
longer 1
loss 1
luxury 1
machine 1
machines 1
mail 1
major 1
make 2
man 1
marked 2
measurements 1
meets 2
men 1
mentions 1
military 3
milligan 17
ministry 1
miserable 1
mistakenly 1
month 1
months 4
moral 1
mother 1
much 1
musical 2
musician 1
musicians 1
names 1
never 1
neville 1
new 1
next 1
nightly 1
nights 1
no 2
not 1
notes 1
novel 1
now 3
number 1
obsolete 1
of 21
off 1
office 2
officer 4
officers 1
ohms 1
old 1
on 4
one 2
only 1
open 1
opens 1
or 2
orderly 1
our 2
out 2
overboard 1
p 1
pages 1
part 2
partake 1
passage 1
passes 1
performances 1
petrol 1
photographs 1
pickup 1
picture 1
plane 1
play 1
player 1
players 1
playing 1
pleasant 1
please 1
pleased 1
portrays 1
practice 3
practices 1
previously 1
produce 1
prologue 1
prove 1
puckoon 1
quotes 1
reading 1
real 1
reams 1
receives 1
reckons 1
recording 1
records 1
regiment 3
regimental 1
represents 1
respect 1
response 1
returning 1
returns 3
royal 1
safe 1
said 1
sanitary 1
saw 1
say 1
scenes 1
school 1
scruples 1
sea 2
searches 1
second 1
sees 1
sentences 2
session 1
setting 1
shell 1
shells 1
shelter 1
shifts 1
shoot 1
shouting 1
show 2
shows 1
similar 1
singled 1
sir 1
skills 1
slips 1
smuggle 1
sniping 1
soldiers 1
some 1
songs 1
sort 1
soundfrom 1
spain 1
spike 1
starts 1
steps 1
stories 1
strenuous 1
suitcase 1
summer 1
suppose 1
swore 1
taken 1
talks 1
ten 1
that 9
the 39
their 4
then 3
they 7
this 3
three 2
thrown 1
ticket 1
time 1
to 23
toast 1
topic 1
town 1
train 2
training 2
trains 1
transmission 1
troops 1
troublemaker 1
trumpet 1
two 1
uncle 1
unison 1
unusually 1
up 2
urgent 1
variously 1
view 1
voyage 1
war 7
warned 1
was 5
we 4
wed 1
weeks 1
well 1
went 1
were 5
what 1
when 2
where 1
whereupon 1
whether 1
which 6
who 1
whom 1
will 3
wins 1
winter 1
with 11
within 1
word 1
worded 1
wordplay 1
world 2
would 5
write 2
year 2
years 1
you 2
your 1
