7258407
/m/025xgxh
/m/025xgxh
Steven Brust
1990-10
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 18
about 2
acknowledge 1
across 1
acts 1
adrilankha 7
after 6
again 2
against 1
agonized 1
agrees 1
aibynn 5
aid 1
aliera 1
all 2
allowed 1
along 1
an 5
and 28
angered 1
are 3
arrangements 1
arrest 2
arrested 2
arrive 2
as 5
assassin 2
assassination 3
at 6
attempt 1
avoid 1
avoids 1
aware 1
away 1
back 3
barrier 1
be 6
becomes 1
been 2
before 4
begin 1
begins 1
between 1
black 2
boat 1
boralinoi 5
boss 2
both 1
branding 1
breaks 2
brings 1
brutal 1
businesses 1
but 10
by 3
calls 1
can 2
capital 1
career 1
castle 2
causing 1
cawti 10
changed 1
charge 1
claiming 1
coast 1
commits 1
completes 1
confirms 1
contacts 1
contract 2
conversation 1
convinces 3
council 4
count 2
county 1
court 1
cover 1
deal 1
death 1
declares 1
destroy 1
destroyed 1
detect 1
difficult 1
difficulty 1
displeased 1
does 2
dragaeran 1
dreamgrass 1
drummer 1
drumming 2
during 2
each 1
easterner 1
easterners 1
elder 1
empire 3
empress 6
end 1
ending 1
escape 2
escapes 2
eventually 1
evidence 1
except 1
exchange 1
executed 2
executes 1
execution 1
exits 1
faces 1
faints 1
falsehoods 1
father 1
female 1
fight 1
fighting 1
flashes 1
fleeing 1
flees 2
flown 1
for 10
forcibly 1
forest 1
forever 1
forgiven 1
framed 1
framing 1
free 1
frees 1
friends 3
from 1
gangs 1
given 1
gives 2
goddess 1
goes 1
got 1
grandfather 1
greenaere 6
group 3
growing 1
guard 1
guards 4
had 2
has 4
have 3
he 18
heartfelt 1
help 3
her 2
hidden 1
highranking 1
him 10
himself 1
his 24
honors 1
however 1
immediate 1
imperial 1
impossible 1
in 16
inadvertently 1
includes 1
including 2
inevitable 1
injured 1
interests 1
into 1
involved 1
is 7
island 2
it 3
jhereg 9
kill 1
killed 3
kills 2
king 5
kingdom 1
knows 2
kragar 1
last 1
learns 1
less 1
lieutenant 1
life 2
link 1
live 1
lives 2
location 1
loiosh 2
longer 1
lord 1
love 1
loyal 1
magic 2
makes 1
mastermind 1
matters 1
member 1
members 1
menacing 1
might 1
more 2
morganti 1
morrolan 2
most 1
mostly 1
much 1
murder 1
named 1
nature 1
negotiates 1
new 3
no 1
nobody 1
noishpa 5
nonmorganti 1
not 2
nothing 1
obligation 1
ocean 1
of 22
off 2
offers 1
office 1
on 6
one 1
only 1
open 1
opportunity 1
orb 3
ordering 1
orders 1
organization 3
other 1
out 4
outside 2
palace 2
pardon 1
part 1
payment 1
peace 2
penetrate 1
phoenix 2
prays 1
press 1
previous 1
primary 1
prison 2
proves 1
provides 1
public 2
pursues 1
put 1
receives 1
recruiting 1
released 1
remembers 1
representative 2
requests 1
require 1
rescues 1
residents 1
responsible 1
reveals 1
revised 1
revolt 2
revolutionists 5
riot 2
room 1
safety 1
sails 2
satisfying 1
scene 1
second 1
seems 1
selfdoubt 1
sends 1
sent 1
sets 2
several 1
shop 3
short 2
siege 1
sin 1
singlehandedly 1
situation 1
slain 1
soffta 1
soldier 1
some 1
sorcery 1
soul 1
south 5
spy 1
standoff 1
steps 1
still 2
stipulation 1
store 1
strikes 1
stuck 1
stumbles 2
summoned 1
superior 2
suppression 1
surprisingly 1
suspects 2
szurke 1
taking 1
talks 1
targeting 1
teckla 1
teleport 2
tells 1
tends 1
tense 1
terms 1
territory 1
testify 1
testifying 2
testimony 2
that 10
the 74
their 1
them 1
these 1
they 2
thinks 1
this 2
though 1
threatening 2
throne 1
time 1
title 1
to 25
together 1
toronnan 1
treason 1
treaty 3
tries 1
turned 1
ultimate 1
ultimately 1
under 1
unusual 1
upon 2
using 1
vengeance 2
verra 3
violence 1
visit 1
visits 1
vlad 37
waiting 1
waits 1
wants 1
war 3
warn 1
warns 2
watchtower 1
way 1
weapon 1
well 1
what 2
when 2
where 2
which 3
while 1
who 4
whom 1
whose 1
wife 1
will 3
with 9
without 1
won 1
wonders 1
work 1
worsen 1
would 2
wounds 1
