4955896
/m/0cwznc
/m/0cwznc
Nevil Shute

{"/m/02xlf": "Fiction"}
a 22
able 1
about 1
accident 1
affair 1
affected 1
affection 1
again 2
alice 4
almoner 1
also 1
although 2
amid 1
an 1
and 33
another 1
any 1
are 2
around 1
arrested 1
as 8
asked 1
assumes 1
at 2
attracted 1
awaits 1
back 1
balkan 1
be 4
because 1
becoming 1
before 2
begin 1
begins 2
being 1
belief 1
between 1
book 1
both 1
bound 1
bribing 1
bronze 1
built 1
bustling 1
busy 1
but 4
buys 1
by 1
byword 1
can 2
card 1
cards 1
characters 1
chauffeur 3
cheque 1
city 2
clear 2
collapse 1
colourful 1
comes 1
coming 1
complete 1
completely 1
concession 1
concessiononce 1
consciousness 1
continues 2
control 1
convalescence 1
corporation 2
courtesan 1
criminal 1
damning 1
dealer 1
dealings 1
death 1
decides 1
depression 2
deprives 1
derelict 1
desperation 1
did 1
die 1
discharged 1
dishonest 1
divorce 1
do 2
does 1
dole 1
done 1
down 1
drive 1
early 1
employer 1
encourages 1
energy 1
england 1
entire 2
entirely 2
eventually 1
everyone 1
evidence 1
exchange 1
failed 1
falsification 1
far 1
few 1
fictional 1
fiercely 1
financier 1
firm 2
first 1
float 1
floating 1
floats 2
foot 1
for 6
former 1
forms 1
forties 1
from 2
full 1
gain 2
gate 1
gave 1
gift 1
gives 1
go 1
goes 1
going 1
good 1
graduate 1
greet 1
hard 1
has 4
have 2
having 1
he 33
head 4
health 2
help 2
henry 2
her 1
high 1
hiking 1
him 3
himhttpwwwallreaderscomtopicsinfo33362asp 1
himself 1
his 22
honesty 1
hospital 4
hours 1
house 1
however 1
hurries 1
identity 1
in 8
including 1
indigent 1
indulge 1
intestinal 1
is 27
issuesbut 1
it 3
its 2
keep 1
keeping 1
knows 4
lack 1
laevatia 2
law 1
learns 1
legitimate 1
letter 2
life 2
light 1
listlessness 1
living 1
loans 1
london 4
loss 1
love 1
loyal 1
macmahon 1
made 1
major 2
make 3
making 1
man 3
managed 1
manager 1
many 2
market 2
married 1
means 1
meanwhile 1
misconception 1
money 3
months 1
mortimer 1
much 1
must 1
name 2
nation 1
need 1
never 2
new 1
night 1
no 6
north 2
northumberland 1
not 1
now 3
of 29
offence 1
officials 1
oil 2
on 8
once 2
one 6
only 3
open 2
operated 1
opposite 1
order 1
orders 2
other 2
others 1
out 4
own 1
pain 1
perspective 2
plan 1
plaque 1
plight 1
pose 1
practised 1
price 1
prison 1
prisoner 1
problemsand 1
proceedings 1
profile 1
profit 1
prospectus 2
prosperous 2
questions 1
quiet 1
quietly 1
rearmament 1
received 1
recognized 1
recover 1
recovering 1
regains 1
release 2
remain 1
remainder 1
remembers 1
reports 1
resemblance 1
responsibility 2
result 1
return 1
revolution 1
road 2
ruined 1
secured 1
securing 1
sees 3
sent 2
separate 1
serious 1
serves 1
sets 1
severe 1
shady 1
sharples 3
shipyard 9
shops 1
shoulders 1
shows 1
slowly 1
so 3
some 1
something 1
song 1
sons 1
soon 1
square 1
start 1
starting 1
starts 3
states 1
still 3
stock 3
story 1
strength 1
success 1
successful 1
successfully 1
suffers 1
take 1
taken 1
tankers 2
telling 2
tells 1
thanks 1
that 8
the 55
there 3
they 2
thinks 1
this 4
three 2
through 2
thus 1
time 1
to 33
tour 1
town 9
transport 1
travels 1
true 1
two 1
unemployed 1
unemployment 1
uniquely 1
unrepentant 1
up 3
upon 1
us 1
very 1
walks 1
wallet 1
wants 2
warren 16
warren134he 1
was 3
watches 1
way 4
wealthy 1
well 3
what 2
when 2
where 2
which 3
while 2
who 4
wife 1
will 5
with 5
without 1
words 1
work 4
works 1
yard 2
years 1
