23249193
/m/0661bdp
/m/0661bdp
Desmond Bagley
1984
a 5
after 1
and 2
beneath 1
biologist 1
brother 1
circumstances 1
civilisation 1
clues 1
code 1
confrontation 1
deepsea 1
died 1
discovered 1
discovers 1
expedition 1
far 1
from 1
has 1
have 1
hazardous 1
his 1
in 3
investigations 1
latest 1
lucrative 1
lump 1
manganese 1
marine 2
mark 1
marks 1
may 1
mike 2
news 1
notebook 1
of 3
only 1
pacific 1
receiving 1
research 1
rock 1
sea 1
source 1
start 1
suspicious 1
that 2
the 3
trevelyan 1
trigger 1
two 1
violent 1
with 1
