16267972
/m/03wfh_n
/m/03wfh_n
Arthur Milne

18 1
3 1
a 5
about 1
algebra 1
analysis 1
and 3
bodies 3
body 2
center 1
chapters 3
coordinates 1
definition 1
displacement 1
dynamics 4
elementary 1
grouped 1
gyrostatic 1
has 1
i 1
ii 1
iii 1
impulsive 1
in 1
including 3
integral 1
into 1
is 3
its 1
kinematics 1
line 4
mass 1
mechanics 1
motion 4
of 14
on 5
part 3
particle 2
particles 1
parts 1
problems 1
products 1
rigid 5
statics 1
system 1
systems 3
tensor 1
the 2
theorems 1
types 1
vector 2
vectorial 1
vectors 4
work 1
