9633705
/m/02pml6b
/m/02pml6b
James BeauSeigneur
1998
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
40 2
a 40
about 5
abroad 1
absent 1
absentmindedly 1
acting 1
actively 1
actual 1
adopted 1
adoptive 1
africa 1
after 5
against 2
age 2
aggressive 1
agreement 1
agrees 1
airline 1
albert 2
alice 3
alive 1
all 1
almost 2
along 2
already 1
also 3
alternate 2
altruistic 1
ambitious 1
americas 1
an 9
analyse 1
and 72
announces 1
anonymous 1
antichrist 1
any 2
anyone 1
arab 1
are 8
ark 4
arranged 1
arrives 2
as 24
asia 1
assassinations 2
assistance 1
assistant 1
assumed 1
assumes 2
at 5
attack 3
authentic 1
back 2
backed 1
bailey 2
be 6
beast 1
because 3
becomes 1
been 3
before 1
befriend 1
begin 1
beginning 1
being 2
believe 1
believed 1
bernley 2
besieged 1
better 1
biblical 1
blackmail 1
blast 2
blind 1
blow 1
body 2
bond 1
book 1
boy 3
bribery 1
building 2
built 1
buries 1
business 1
but 9
by 13
c 2
call 3
called 2
callers 1
calls 1
can 1
captive 1
captivity 1
captors 1
captures 1
car 2
cars 1
casualties 1
casualty 1
catapult 1
catastrophe 1
catatonia 1
catatonic 1
causes 1
cells 5
central 1
charismatic 1
check 1
child 2
chinaindiapakistan 2
christ 2
christian 1
christianity 1
christopher 28
christophers 1
christopther 1
citing 1
city 1
claiming 1
clear 1
clearinghouse 1
clone 1
cloned 1
cloning 1
collateral 1
colombus 1
come 1
comes 1
commands 1
commercial 1
companion 1
completion 1
concluded 1
confess 2
confidant 2
conflict 1
confronts 1
consciousness 1
consent 2
consumes 1
continue 2
control 1
converts 1
convinces 1
cooperation 1
corrects 1
could 1
councils 1
countryside 1
covenant 1
crash 1
crashes 1
cry 1
culminated 1
culture 1
cure 1
cycle 1
damage 2
daughter 1
daughters 1
day 2
days 1
dead 4
deaths 1
decker 34
declaration 1
declared 1
deduces 1
deemed 1
deft 1
degree 1
denies 1
dermal 1
desert 3
destroys 1
destruction 2
die 2
died 3
dies 2
disaster 3
discover 1
discoveries 1
discovers 2
disease 3
dispatched 2
divisions 1
do 2
document 1
does 3
dogfight 1
dogs 2
dome 1
donafin 1
doom 1
door 1
dream 4
dreams 1
driver 1
driving 1
drops 1
due 2
duel 1
during 3
each 2
earth 1
east 1
elected 1
embraced 1
encounter 1
encounters 1
ends 2
engineered 1
enhanced 1
entire 1
entirely 1
era 2
escape 2
established 1
etc 1
europe 2
european 1
event 1
every 1
exchange 1
execution 1
exercise 1
exist 1
exit 2
expected 1
expects 1
explaining 1
explains 2
explanation 1
explosion 1
extraordinary 1
extremely 4
fact 1
falls 2
families 1
family 4
fashion 1
faure 8
feeling 1
fighter 1
finally 1
find 1
finding 1
fly 1
flying 1
following 2
for 15
force 2
forces 1
forms 1
found 1
freemasons 1
friend 1
friends 2
friendship 1
from 9
front 1
fundamentalists 1
funding 1
gain 1
general 8
get 2
gift 1
gives 1
glass 1
global 1
god 1
goes 1
goodman 13
government 1
groups 1
guidance 2
guide 1
guilt 1
had 2
handle 1
hansen 7
harry 1
has 12
have 3
hawthorne 2
he 27
heavily 1
held 2
helicopter 1
high 1
him 14
himself 1
his 22
historical 2
hit 1
home 3
hopes 1
house 1
housed 1
however 7
human 1
hundreds 2
idea 2
identify 1
ilyana 1
immediately 3
immortality 1
impeded 1
impending 1
implemented 1
impossible 1
imprisoned 1
in 30
incident 1
include 1
incredibly 1
informed 1
insert 1
inside 1
insists 1
instant 1
intelligence 1
intends 1
interacts 1
into 9
invites 2
involved 1
is 36
israel 9
israeli 1
it 8
its 2
jesus 2
jews 2
join 2
joins 1
jon 4
joshua 1
journalist 2
journey 1
just 2
kidnapped 1
killed 1
kind 2
knights 1
known 1
laboratory 1
lacking 1
land 2
lasts 1
late 1
later 4
leads 2
learn 1
learns 1
leaving 1
lebanon 1
led 2
lie 1
life 1
light 1
like 1
long 1
looking 1
loss 1
lots 1
loud 1
loved 1
lucis 1
lucius 1
machinations 1
made 1
make 1
making 1
man 1
manipulator 1
mankind 1
massacre 1
meanwhile 3
meets 1
mentor 1
middle 1
millions 3
milner 7
mission 1
month 1
moore 2
most 1
motion 1
mount 2
movement 1
muslim 1
must 1
name 1
named 2
nation 1
nations 7
nature 1
nears 1
necessary 1
need 1
neighbors 1
never 2
new 6
next 1
nights 1
no 4
none 2
not 5
notable 1
noted 1
nuclear 1
occult 2
oceania 1
of 52
off 2
offers 1
office 1
often 1
old 1
on 7
once 1
one 5
ones 2
only 2
open 1
operations 1
or 4
origin 1
other 2
others 1
out 3
own 1
pakistan 1
palestinians 1
parents 1
partners 1
pass 2
peace 1
people 3
period 1
perish 1
phone 1
pictures 1
piloted 1
pilots 1
place 3
placed 1
plan 4
plane 1
planes 1
police 1
political 1
politics 1
popular 1
position 4
possession 1
power 2
powers 1
practices 1
pragmatic 1
presumed 1
previously 1
primary 4
printings 1
prisoner 1
professor 4
progress 1
project 1
promising 1
properties 1
prophecies 1
prophesied 1
proposes 1
prosperity 1
proven 3
provided 1
proxy 1
quest 1
quickly 1
rapidly 1
rapture 2
realize 1
realizes 1
receives 1
recent 1
recognized 1
recognizes 3
recovers 1
recovery 1
reference 2
referred 1
referring 1
refuse 1
refuses 1
regent 4
regents 2
regional 2
regions 1
reign 1
remain 2
remaining 1
remains 1
reminds 1
renamed 1
reorganize 1
replacement 2
represenation 1
rescued 1
resiliant 1
responsible 2
restructured 1
retake 1
retaken 1
retaliation 1
retired 1
return 1
returns 1
reunited 1
revealed 2
revelation 1
right 2
riot 1
robert 2
rock 1
role 1
rosen 1
rosens 1
rotation 1
ruined 1
rushes 1
russians 1
safe 1
said 1
same 1
samples 1
saves 1
saying 1
says 1
schedule 1
searching 1
secretary 8
seemingly 2
sees 2
series 1
serves 2
sets 2
seven 1
several 4
shakes 1
shootings 1
show 1
shown 1
shows 3
shroud 1
sign 1
signed 1
signs 1
since 1
single 2
site 1
some 6
son 1
spirit 1
spiritual 1
states 2
stay 1
stays 1
still 1
stop 1
story 1
strain 1
strange 1
strategic 1
stricken 1
stupor 1
such 1
sudden 1
suddenly 1
suffered 2
suitable 1
support 1
survives 1
takes 1
talk 1
tears 2
tell 1
templar 1
temple 3
temporarily 1
ten 2
terrorists 3
than 1
that 28
the 108
their 7
them 4
then 5
theories 1
theosophist 1
there 3
these 2
they 14
