19845340
/m/04qbqh8
/m/04qbqh8
Gary Paulsen
1994-03-01
1100mile 1
120miles 1
17 1
a 17
able 1
about 2
account 1
adds 1
after 2
agrees 1
alive 1
all 1
also 1
although 1
anchorage 2
and 35
are 1
around 1
arrive 1
arrives 1
as 6
asks 2
at 4
back 5
be 2
before 4
begins 2
begun 1
behind 2
being 1
better 1
between 1
bitingly 1
bond 1
but 1
by 4
cabin 2
calls 1
came 1
canadian 1
causes 1
chance 1
checks 1
chewed 1
climbs 1
cold 1
come 1
comes 1
community 1
compete 3
competed 1
complete 1
confesses 1
confession 1
constantly 1
continues 1
cookie 1
coronary 1
day 1
days 2
decides 1
defend 1
deprivation 1
despite 1
destroying 1
detour 1
devastated 1
devil 2
diagnosed 1
difference 1
dips 1
disasters 1
discovers 1
disease 1
doesnt 2
dog 3
dogs 16
donates 1
donating 1
down 1
dream 1
drive 1
drives 1
during 1
encounter 1
encounters 1
end 1
enter 1
eskimo 1
essential 1
even 3
ever 1
except 1
expected 1
experience 2
experienced 1
experiences 1
family 2
fatally 1
fifteen 1
find 1
finds 2
first 1
food 1
for 4
forced 1
freezing 1
friend 1
from 3
fund 1
gary 3
gear 1
get 1
gets 1
give 1
goes 1
gone 1
grows 1
had 1
half 2
hallucinations 1
has 2
have 3
having 1
he 19
help 1
him 6
himself 3
his 13
hitches 1
home 6
how 2
however 1
iditarod 7
in 14
increases 1
inexperience 1
insanity 1
into 2
is 10
it 5
just 1
keep 2
kennel 2
kennels 1
know 1
knows 2
lacking 2
late 1
lead 1
leap 1
learn 1
led 1
lengthy 1
life 3
lines 1
little 1
live 1
living 1
local 1
long 1
longer 2
losing 1
many 1
material 1
miles 1
minnesota 1
moment 1
money 3
months 1
moose 1
more 2
murphy 1
musher 1
mushers 2
need 1
neighbor 2
night 1
normal 1
not 1
numerous 1
objects 1
of 16
off 1
officials 1
on 5
one 3
only 2
or 1
order 1
ortho 2
other 1
out 4
outside 2
own 4
particular 1
particularly 1
paulsen 27
pets 1
plans 1
point 1
poverty 1
prepares 1
prior 1
problems 1
pull 1
purchases 1
pursuit 1
quarters 1
questions 1
quickly 2
quietly 1
race 5
rallies 1
realizes 2
reevaluates 1
relationship 1
relegated 1
reluctantly 1
remainder 1
repeatedly 1
replies 1
result 1
resulting 1
results 1
return 1
returning 1
returns 1
ride 1
right 1
run 5
running 2
runs 2
ruth 7
savings 1
says 1
seeks 1
settles 1
several 4
severely 1
sharing 1
she 1
shot 1
should 1
simple 1
sitting 1
sixteen 1
skunks 1
sled 4
sleep 2
sleeping 2
small 1
smell 1
some 2
someone 1
sometimes 1
soon 1
start 1
starts 1
staying 1
still 2
story 3
stricken 1
stunning 1
take 1
takes 2
taking 1
talked 1
team 9
tells 1
temperatures 1
than 1
that 15
the 52
their 4
them 2
they 4
this 5
time 2
to 23
told 1
tragic 1
trail 1
transformation 1
trap 1
travel 1
traveling 1
trip 2
truck 4
turn 1
two 1
unable 1
up 2
uses 1
views 1
walking 1
want 1
way 2
when 5
where 2
which 2
who 2
wife 2
will 5
winds 1
winterdance 1
with 10
wondered 1
woods 1
word 1
worn 1
wounds 1
wrecks 1
wrong 1
