2493476
/m/07hrc9
/m/07hrc9
Angela Carter
1967
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/0488wh": "Literary fiction"}
1852 1
a 17
across 1
acting 1
adept 1
after 4
all 2
alone 1
also 2
an 2
and 26
another 1
anymore 1
are 2
arranged 1
arrives 3
as 6
assigns 1
assist 1
at 7
attraction 1
aunt 1
awaited 1
away 1
back 1
be 2
beat 1
becomes 1
bed 1
been 2
before 1
behavior 1
being 1
better 1
bizarre 1
board 1
brothers 1
bullish 1
burying 1
by 4
calls 1
canyon 1
care 1
chess 1
children 1
climb 1
closer 1
collapse 1
comes 1
comforts 1
conflicted 1
considers 1
constrained 1
control 2
converses 1
coup 1
crash 1
crawls 1
day 1
deaths 1
decides 2
depleted 1
despises 1
destroy 1
destroyed 1
destroying 1
devises 1
difference 1
dinner 1
dirty 1
discovering 1
do 1
door 1
drafting 1
dress 3
drunken 1
during 1
each 1
eccentric 1
end 1
epiphany 1
escape 2
evening 1
exemplified 1
exhibition 1
fails 1
fallen 2
family 2
fantastical 1
far 1
fashioned 1
feelings 1
feels 1
fiddler 1
finally 1
finn 15
fire 2
first 1
floor 1
floors 1
for 4
forced 1
forgot 1
francie 2
from 1
fulfillment 1
future 1
gesture 1
get 1
grand 1
grow 1
guise 1
had 1
has 1
have 3
having 1
he 8
hegemony 1
her 14
him 2
his 4
home 2
honing 1
house 4
household 1
however 4
husband 1
ignites 1
ignores 1
imagining 1
in 13
incestuous 1
incredibly 1
infidelity 1
into 3
introduced 1
intruded 1
is 8
it 2
jonathon 2
jove 1
just 1
key 1
kiss 2
kisses 1
land 1
leading 1
learns 2
leaving 1
leda 1
left 1
life 1
lifesized 1
london 1
long 1
love 1
machinations 1
made 1
make 1
maker 1
margaret 4
marry 1
meanwhile 1
meets 2
melanie 17
mistreated 1
monstrous 1
morning 1
mother 1
moved 1
mute 1
national 1
never 1
new 1
next 2
night 1
not 3
notes 1
notices 1
novel 1
now 2
observer 1
obviously 1
of 20
off 1
old 2
on 4
only 3
opposition 1
or 1
other 1
out 1
outside 1
over 1
parents 1
park 2
perfectly 1
perform 1
performance 1
philip 14
physically 1
plan 1
plane 1
play 2
poor 1
process 1
property 1
puppet 5
puppets 3
queen 2
rage 1
rakish 1
raped 1
reaches 1
realization 1
realize 1
realizes 1
rebellion 1
rebellious 1
refuses 1
relationship 1
remnants 1
resigned 1
resistance 1
rest 1
returns 3
romantic 1
room 1
satisfied 2
scrambles 1
seat 1
seeing 1
seems 1
selling 1
sets 1
shall 1
she 10
show 5
shows 1
siblings 2
sits 1
skills 1
slaps 1
so 1
someday 1
somewhat 1
soon 1
sort 1
south 1
speaks 1
squares 1
stage 1
starts 1
statue 1
stealing 1
struggles 1
subtly 1
successful 1
suddenly 1
swan 4
table 1
takes 1
terrified 1
that 4
the 43
their 1
there 2
they 5
this 3
through 1
thrown 1
time 2
to 25
together 1
tolerate 1
towards 1
toys 2
toyshop 1
travels 1
tree 1
tremendous 1
two 1
tyrannical 1
uncle 8
unexpected 1
until 1
up 1
urges 1
venturing 1
victoria 3
walking 1
wash 1
watch 1
way 1
wedding 1
when 3
whereas 1
which 1
white 2
who 2
wife 1
will 1
with 5
work 1
working 1
world 1
worn 1
worse 1
younger 1
