14738791
/m/03gw5ft
/m/03gw5ft
Gilbert Adair

{"/m/02n4kr": "Mystery"}
a 4
able 1
accident 1
actress 2
affair 1
ageing 1
although 1
amateur 1
an 2
and 5
are 1
as 1
at 1
been 1
by 2
case 1
champagne 1
chiefinspector 1
comeback 1
content 1
cora 3
crime 1
days 1
decoy 1
done 1
drinks 1
each 1
elstree 1
evadne 2
eventually 1
everyone 1
except 1
figure 1
film 1
formerly 1
friend 1
from 2
glass 1
group 1
had 1
happened 1
happens 1
has 2
have 2
her 1
hertfordshire 1
hopes 1
however 1
in 2
investigation 1
is 2
it 2
itself 1
kill 1
laced 1
linking 1
london 1
mark 1
means 1
motive 1
mount 2
murder 2
murderer 1
mysterious 1
mystery 1
neat 1
none 1
of 10
old 1
on 1
only 1
opportunity 1
out 1
poison 1
police 1
postwar 1
presents 1
previously 1
retired 1
right 1
rutherford 2
scene 1
scotland 1
screen 1
set 2
several 1
she 2
shooting 1
silver 1
sleuth 1
slightest 1
so 1
solution 1
solve 1
some 1
start 1
strong 1
studios 1
suspects 1
takes 1
the 18
them 2
time 1
title 1
to 8
trubshawe 1
unbeknownst 1
up 1
using 1
watching 1
which 3
whose 1
will 1
with 2
would 1
writer 1
yard 1
