22645856
/m/05zx7kk
/m/05zx7kk
Rose Wilder Lane
1932
{"/m/0hfjk": "Western"}
a 2
across 1
actual 1
alone 1
and 8
are 2
as 1
at 1
baby 1
babynbsp 1
book 1
born 1
but 1
caroline 1
changed 1
characters 1
charles 1
courage 1
cozy 1
dangers 1
david 3
disaster 1
dugout 1
east 1
eighteen 1
face 1
find 1
first 1
for 2
full 1
go 1
grandparents 1
happiness 1
harsh 1
head 1
her 1
high 1
homestead 1
hurricane 1
in 2
is 5
lane 2
left 1
let 1
life 1
maternal 1
molly 3
must 1
named 1
names 1
new 3
newlyweds 1
nothing 1
of 5
old 1
only 1
original 1
own 1
pack 1
pioneers 1
plains 1
prairie 1
promise 1
reissue 1
roar 1
search 1
share 1
sixteen 1
strikes 1
the 12
their 3
then 1
they 2
title 1
to 4
two 1
under 1
up 1
wagon 1
warm 1
were 2
west 1
wheat 1
when 1
which 1
winter 2
with 2
work 1
years 1
young 1
