3290811
/m/093ngl
/m/093ngl
Samit Basu
2004-01-15
a 19
abduct 1
about 2
accompanied 1
accordance 1
actually 2
after 1
again 1
akarat 2
all 3
along 1
also 2
amloki 1
an 1
and 17
any 1
anything 1
are 7
arising 1
armour 1
artaxerxeia 1
as 11
ascends 1
asur 2
asvin 3
aswamedh 1
at 2
attacked 1
avranti 3
back 5
bali 6
band 1
be 7
becoming 1
been 1
begins 1
behind 1
being 1
best 2
between 1
birth 1
bjorkun 3
bolvudis 1
book 4
books 1
bring 5
brotherhood 5
brought 1
but 7
by 9
called 2
cannot 1
catches 1
caused 1
centauress 1
chief 3
choice 1
chooses 1
circle 1
city 1
civilian 3
confrontation 1
convinced 1
convinces 1
cousins 1
create 1
cyr 1
dagger 1
daggerunder 1
danavs 1
danger 1
danh 5
danhgem 6
dark 2
day 2
days 1
dealt 1
decides 1
dedicated 1
departed 1
determined 1
didnt 1
discovered 1
discovers 2
down 1
during 2
eager 1
earlier 2
earned 1
earning 1
elaken 1
emergence 1
enki 1
ensured 1
escapes 1
executed 1
expected 1
fact 2
fail 1
fame 1
father 1
feigning 1
fire 1
five 2
followers 1
follows 1
for 3
forest 3
form 2
former 1
friend 1
from 6
full 1
furious 1
gaam 1
gauntlet 1
gem 5
get 1
ghost 1
glory 2
goes 1
great 1
group 1
guards 1
had 3
harmless 1
have 3
havoc 1
he 20
heaven 1
her 1
hero 1
heroic 1
him 11
himself 1
his 8
how 1
however 1
hundred 1
imokoi 2
in 11
including 1
information 1
instigated 1
into 1
is 19
island 1
it 2
joined 1
joins 1
journey 3
karisman 1
key 1
kidnaps 1
kill 1
kills 1
king 1
kirin 14
knight 1
kol 3
koli 1
later 2
latter 1
laws 1
lays 1
learning 1
leave 1
leaves 1
leer 1
let 1
levels 1
library 2
like 1
lived 1
looking 1
lord 4
magic 1
magical 2
man 1
manticores 1
mantric 1
many 2
material 1
materializes 1
maya 5
meet 1
meets 1
memories 1
men 1
mentions 1
most 1
mystery 1
name 1
narak 1
nearly 1
needed 1
not 1
notice 1
now 1
nundu 1
objects 2
of 33
offered 1
old 1
omar 1
on 10
only 1
or 1
orders 2
other 1
others 1
over 2
pashan 3
pashans 1
pearl 3
planning 1
plot 1
powerful 1
prince 1
princes 1
prophecised 1
purported 1
put 1
pyramid 1
quests 1
raka 1
rakshas 2
rakshasi 1
ravian 2
ravians 1
reaches 1
recalls 1
red 3
remains 1
remarkable 1
remember 1
remembers 3
reminiscent 1
renewal 2
renown 1
rescued 1
return 3
revealed 1
reveals 2
right 1
ring 1
rises 1
rising 1
roving 1
said 1
scorpion 1
secret 3
seemed 1
seen 1
sends 1
sent 1
series 1
setting 1
short 1
silent 1
silver 1
sir 1
skuans 1
slay 1
snow 1
solve 1
somehow 1
something 1
soon 1
speaks 1
spellbinder 1
spellbinders 2
spikes 5
star 1
starting 1
steal 1
steals 1
stolen 1
stone 2
storks 1
story 1
study 1
style 1
succeeds 1
sudden 1
sunset 1
supposed 1
sure 1
sword 1
tail 1
task 1
tatsu 1
tear 1
tell 1
that 11
the 65
their 2
them 1
then 1
they 4
things 2
this 9
throne 1
through 1
thus 1
time 1
to 30
together 1
too 2
trail 1
translates 1
tries 2
trolls 1
try 1
trying 1
turn 1
turned 2
two 2
under 2
understands 1
unlike 1
until 2
untranslatables 2
up 2
vacation 1
vaman 1
vanar 1
ventelot 1
very 1
visit 1
wake 1
wanted 1
war 1
warriors 1
wars 1
was 3
way 1
well 2
were 3
what 1
when 2
which 4
while 2
who 4
will 1
with 8
work 1
world 3
worried 1
would 3
written 2
yarni 1
year 1
years 1
younger 1
