28159435
/m/05qg0w4
/m/05qg0w4
Catherine Asaro

a 12
about 1
after 1
ago 1
all 2
almost 1
also 3
althor 1
an 1
and 14
appalachian 1
apparently 1
are 5
art 1
as 4
ascendant 1
assassinations 1
assembly 1
at 2
attempt 1
attempted 1
be 5
became 2
because 2
becoming 1
before 1
between 1
bodyguards 1
both 2
but 4
by 3
called 1
can 4
cannot 1
captured 1
carn 1
catch 2
certain 1
change 1
children 1
citystates 1
coba 3
coban 1
collapses 1
colony 1
compete 1
competing 1
concord 1
contested 1
contests 1
convey 1
daughter 1
decide 1
dice 6
did 1
discovers 1
during 5
earth 2
eighteen 1
eldrinson 1
else 1
emperor 2
empire 2
empires 1
established 1
eubean 2
even 3
events 1
excel 1
exchange 1
fates 1
few 1
finds 1
for 1
forever 1
former 1
from 1
fulltime 1
gamble 1
game 4
grandfather 1
grounds 1
haka 2
handcrafted 1
happened 1
have 1
he 3
him 2
his 7
however 1
iii 2
imperator 4
imperialite 1
important 2
in 4
including 1
influence 1
information 2
intended 1
into 1
is 7
isolated 2
it 6
its 2
ixpar 1
jai 3
jaibriol 3
jail 1
jewels 1
jimorla 1
kelric 10
kelricson 2
key 4
killing 1
kind 1
last 1
leaders 1
learn 1
learned 2
life 2
lighning 1
lightning 1
like 1
linking 1
links 1
living 1
lock 1
loyalty 1
made 1
making 1
meet 1
meeting 3
member 1
members 1
mentally 1
miesa 2
might 1
military 1
minds 1
most 1
mountains 1
never 1
not 1
novel 3
novels 1
occupation 1
occurs 1
of 16
on 10
only 1
or 2
originates 1
out 1
parentage 1
peace 3
person 2
physical 1
planet 2
play 1
played 2
players 1
playing 1
politically 2
politics 1
possible 1
psion 1
purposes 1
quis 6
rashiva 1
ratify 1
refers 1
remains 1
returning 1
reunited 1
revealed 1
rohka 1
ruby 1
savina 1
secret 1
see 1
sees 1
set 1
shaky 1
sign 1
since 1
skolia 4
skolians 3
so 1
society 1
something 1
son 1
still 1
stories 1
stranded 1
strategy 1
study 1
sun 1
suspects 1
teaches 1
tell 1
ten 1
that 8
the 37
their 4
then 1
there 2
they 1
this 1
through 1
throughout 1
thrown 1
time 1
title 1
to 10
took 1
top 1
traders 3
treaty 3
triad 1
two 1
unless 1
unspecified 1
use 1
used 2
valdoria 3
variety 1
varz 1
was 1
web 1
when 1
whether 1
while 1
who 2
wife 1
with 3
work 1
would 1
years 2
