23449682
/m/06w2v38
/m/06w2v38
Beverly Cleary
1957
11 1
a 8
actually 1
advertise 2
afternoon 1
again 2
all 1
an 2
and 13
antics 1
any 1
as 2
ask 1
asks 3
at 3
attempt 1
back 1
be 3
because 2
become 1
been 1
bit 1
book 1
boy 1
boys 3
but 3
buying 2
by 1
capper 3
cause 1
chicken 1
close 2
competition 1
continues 1
customer 1
decides 2
delivering 1
desiring 1
discovers 1
dismayed 1
do 1
doesnt 3
dog 1
drive 3
during 1
each 1
eagerly 1
eleven 1
embarrassment 1
ends 2
enough 2
enraged 1
eventually 2
father 1
first 1
following 1
for 6
free 1
friend 1
friends 2
genius 1
get 2
gifts 1
given 1
gives 2
giving 1
handle 1
has 1
have 1
he 15
help 1
henry 20
him 4
his 10
hopes 1
how 1
however 1
idea 1
if 1
important 1
impress 1
in 3
instead 1
interested 1
into 1
is 6
it 6
job 2
kittens 4
know 1
knows 1
later 2
lawn 1
lawns 1
learn 1
learns 1
lets 1
local 2
lose 1
makes 1
manager 1
mccarthy 1
meantime 1
meets 1
might 2
mr 3
murph 3
murphy 1
must 1
named 1
names 1
neighbor 1
new 3
newspaper 1
newspapers 1
nosy 2
not 3
of 7
off 1
offers 1
old 3
older 3
on 2
once 1
one 2
onto 1
opens 1
out 2
outsmarts 1
over 4
paper 6
papers 2
permission 1
pet 1
points 1
pox 1
quimby 1
quite 1
ramona 3
random 1
react 1
result 1
ribsy 2
rides 1
route 10
routes 1
rummage 1
sale 1
school 2
scooter 7
sell 1
some 2
something 1
soon 2
stewardship 1
stops 1
store 1
subscribers 1
subscriptions 1
successful 1
suspects 1
take 4
takes 1
taking 1
taste 1
tells 1
that 5
the 22
them 1
then 1
these 1
this 1
though 2
throwing 1
to 17
too 1
turns 1
unfortunately 1
up 4
uses 1
visit 1
visits 1
volunteers 1
vows 1
way 1
well 1
when 1
who 3
whom 1
will 2
wins 1
with 4
work 1
worried 2
year 1
years 2
