4547385
/m/0c888w
/m/0c888w
Nicci Gerrard
2005-03
a 3
about 1
again 1
all 1
and 5
as 2
at 1
away 2
be 1
becomes 1
begins 1
bleakness 1
boyfriend 1
builds 1
by 1
certainty 1
charlie 2
christmas 1
daughter 2
day 1
deadly 1
disappearance 1
ever 1
every 2
fifteenyearold 1
for 1
from 3
frustrating 1
go 1
halfburied 1
happened 1
has 3
her 6
holidays 1
however 1
island 3
isolated 1
it 1
landry 1
lead 1
leave 2
less 1
littered 1
minute 2
more 2
most 1
mother 2
new 1
night 2
nightmare 1
nina 3
nobody 1
obstacles 1
occur 1
of 4
on 2
or 1
out 1
panic 1
planning 1
plans 1
pressingly 1
question 1
return 1
road 1
run 1
sandling 1
secrets 1
seems 1
series 1
seriously 1
she 1
sickening 1
sinister 1
something 1
story 1
suspicion 1
take 1
tells 1
the 6
then 1
they 1
to 8
turn 1
turns 1
two 1
unease 1
whether 2
why 1
will 3
winter 1
with 2
worry 1
worst 1
yet 1
