6811108
/m/0gq3ln
/m/0gq3ln
William Peter Blatty
1983
{"/m/03npn": "Horror"}
a 22
access 1
accident 1
actual 1
again 2
ago 1
aimlessly 1
all 1
already 1
also 1
although 1
amfortas 2
an 4
and 19
angel 1
another 2
any 1
anyway 1
apathetic 1
apparently 2
are 5
as 4
at 7
atkins 2
attitude 1
back 1
bang 1
bearing 1
because 1
been 1
before 1
being 3
believes 2
big 1
blood 1
bodies 2
body 6
boy 2
brags 1
bridge 1
broken 1
burgerbar 1
but 2
by 3
carried 2
carrying 1
case 1
causes 1
cell 2
chapter 1
claims 2
clear 1
climbing 1
commit 1
compelled 1
concept 1
concluding 1
confessional 1
contemptuous 1
control 3
could 3
crime 2
crimes 1
crucified 1
damien 2
death 2
decapitated 1
deceased 2
demands 1
dementia 2
detective 1
die 1
died 1
dies 2
differ 1
different 1
disabled 1
discovery 1
disease 1
dismissive 1
distinctive 1
doctor 1
doctors 1
done 1
down 1
dr 4
drained 1
dressed 1
during 1
effectively 1
elaborate 1
elderly 1
eleven 1
end 1
ends 2
entire 1
epilogue 1
even 2
everything 2
evil 1
evolution 1
exorcist 1
explain 1
explains 2
failure 1
faithful 1
falling 2
father 2
feeling 1
feels 1
final 1
finally 1
finds 1
fingerprints 3
flight 1
follow 1
forth 1
found 4
francisco 1
freeman 1
friend 1
friends 1
from 5
further 1
gain 1
gaining 1
gate 1
gemini 10
go 1
golden 1
has 4
hated 1
have 3
he 18
heart 1
heaven 1
held 1
here 1
him 2
himself 3
his 14
hospital 5
how 1
however 1
humanity 1
identical 2
identification 1
ill 1
implication 1
in 14
incapable 1
including 2
interviews 1
into 1
investigations 1
is 11
it 4
james 1
join 1
karras 5
kill 1
killer 10
killings 1
kinderman 8
known 1
lacked 1
later 1
lead 1
left 1
let 1
locked 1
logically 1
looks 1
lucifer 3
make 1
many 1
may 1
mental 1
mentally 1
mission 1
motive 1
murder 1
murdered 2
murders 3
musings 1
mutilated 1
mutilations 3
mysterious 2
natural 1
never 1
nicknamed 1
no 1
not 2
novel 1
number 2
nurses 1
oars 1
occasionally 1
of 30
on 1
once 1
one 2
open 1
opens 1
originally 1
out 4
outside 1
over 1
pair 1
partner 1
parts 1
passed 1
patient 1
patients 6
people 1
point 1
police 1
possess 1
possessed 1
possession 1
preacher 1
present 1
previously 1
priest 4
problem 1
process 1
psychiatric 1
psychiatrist 1
putting 1
rays 1
really 1
reason 1
recent 2
refused 1
reincarnated 1
relates 1
remain 1
resuming 1
rowing 1
san 1
sat 1
scenes 3
secured 1
seemingly 2
sees 1
senile 3
senility 1
serial 1
several 1
shame 1
shot 1
since 1
slain 2
so 2
soon 1
spent 1
stairs 1
story 1
straitjacket 1
stroke 1
successfully 1
suffering 3
suffers 1
suggesting 1
summons 1
sun 1
sunlight 3
supposedly 1
survived 1
suspects 1
talkative 1
tells 1
temple 2
terminally 1
that 7
the 51
their 1
them 2
then 1
there 1
they 2
this 2
though 1
thoughts 1
through 1
time 1
to 18
together 1
tommy 1
towards 2
treat 1
trying 1
twelve 1
twelveyearold 1
two 1
universe 1
up 1
upon 1
use 1
vennamun 1
very 2
victims 2
vincent 1
wandering 1
ward 1
was 9
way 1
were 2
when 1
where 1
which 1
while 1
who 7
whole 1
whom 1
why 1
wife 2
wills 1
window 1
wing 1
with 4
world 1
years 3
yet 1
