18177858
/m/04csdz9
/m/04csdz9
Kathryn Cave
1994
acts 1
all 1
always 1
and 4
are 1
as 1
away 2
be 2
because 1
become 1
believes 1
best 1
creature 1
day 1
different 1
does 2
draw 1
eat 2
else 3
eventually 1
everything 1
excluded 1
food 1
friends 3
from 1
games 1
he 6
him 1
however 1
in 1
is 1
like 1
looks 1
name 1
not 3
of 1
one 1
or 1
other 1
people 1
pictures 1
play 1
protagonist 1
realizes 1
refuses 1
same 4
sandwiches 1
sends 1
sent 1
something 6
stuff 1
suddenly 1
that 2
the 7
them 1
then 2
they 1
this 1
to 3
turns 1
up 1
urgy 1
want 1
wants 1
who 1
with 2
