354422
/m/01zpn_
/m/01zpn_
George Orwell
1934-10
120s 1
35yearold 1
a 42
about 3
acceptable 1
accepts 1
acting 1
administrators 2
advances 1
after 2
again 1
against 2
agitated 1
aim 1
all 1
almost 2
amends 1
among 1
an 4
and 43
anonymous 1
answered 1
antibritish 2
anything 1
apoplexy 1
appalled 2
archracist 1
are 3
arent 1
arranges 1
arrived 1
arrives 1
arriving 1
arrogant 1
art 1
artist 1
as 15
ask 1
at 3
attack 1
attacked 1
attempts 1
attitude 1
aunt 1
back 1
be 4
beastly 1
because 2
become 2
becomes 2
becoming 3
been 2
before 1
begins 3
believes 1
better 1
between 1
bird 1
birthmark 1
black 1
blame 1
body 1
bohemian 1
boondoggling 1
both 1
bringing 1
british 2
brothers 1
brought 1
buffalo 1
building 1
built 1
burma 3
burmese 8
burn 1
burra 1
but 6
by 15
calls 1
campaign 2
can 1
candidate 1
centred 1
children 1
church 1
claim 1
cleanse 1
close 1
club 6
comes 1
commissioner 1
community 1
companionship 1
compounds 1
concubine 1
contempt 1
control 1
conversation 1
conversations 1
corrupt 1
country 1
courage 1
craves 1
create 1
creates 1
credit 1
crescent 1
criticizes 1
culminating 1
culture 1
cultured 1
curing 1
cut 1
dahs 1
days 1
defends 1
deliberate 2
delightedly 1
delivering 1
delivers 1
demoted 1
deputy 1
desires 1
despite 1
destiny 1
destroy 1
details 1
deterioration 1
devastated 1
died 1
dies 1
different 1
dilemma 1
disbelieved 1
discovered 1
disgrace 1
disgraced 1
disillusioned 1
disillusionment 1
disloyal 1
dismissed 1
dismisses 1
dissatisfied 1
district 2
divisional 1
do 1
doctor 5
dog 1
down 1
dr 8
drveraswami 1
during 1
earthquake 1
efficient 1
egalitarian 1
elect 1
elected 1
elizabeth 17
elizabeths 1
ellis 1
embedded 1
emotionally 1
empire 2
england 1
entirely 1
envisages 1
escape 2
essentially 1
european 6
europeans 5
even 3
eventually 1
every 1
exacerbated 1
excavation 1
exile 1
expatriate 1
expedition 1
extolls 1
extremely 1
face 1
fact 1
falls 2
false 1
family 1
fantasy 1
fear 1
feelings 1
feels 1
fellow 1
fictional 1
financing 1
find 1
finds 1
firm 1
first 2
firstly 1
flory 33
flying 1
for 12
forest 1
former 1
friendless 1
friends 1
friendship 1
frightened 1
frog 1
from 1
front 1
fulfilling 1
further 1
future 1
gesture 1
get 1
getting 1
give 1
given 2
go 1
good 3
goodbye 1
great 1
had 4
hand 3
happily 1
happy 1
has 8
have 3
he 19
her 15
here 1
hero 1
high 1
higher 1
highly 1
him 11
himself 2
hires 1
his 18
hla 1
holds 1
horse 1
house 2
however 2
husband 1
if 1
illmannered 1
imagines 1
immediately 1
imperial 1
impossible 1
in 17
incomprehensible 1
indeed 1
indian 1
inebriated 1
ineffectual 1
inexpert 1
instead 1
intended 1
intends 1
interests 1
interrupted 1
interruption 1
intrigues 1
is 34
it 5
jaded 1
john 2
jungle 1
keeping 2
killed 1
kills 1
kyauktada 4
kyin 9
lackersteen 5
large 1
latter 1
leave 1
leaves 2
left 1
leopard 3
letter 1
letters 1
lie 2
lieutenant 1
life 2
lifestyle 1
likely 1
literature 1
live 1
lives 1
living 2
local 2
loss 1
lost 1
loves 2
ma 1
macgregor 1
magistrate 1
main 1
make 1
man 2
manager 1
mangy 1
marries 1
marry 3
masquerading 1
materials 1
matter 1
maxwell 2
may 1
member 4
memsahib 1
merchant 2
mere 1
merely 1
military 1
misses 1
mistress 4
moment 2
moneymakers 1
month 1
more 1
most 1
mother 1
mr 1
mrs 3
much 1
mutual 1
named 1
native 3
natives 2
needed 1
niece 1
no 2
nonracist 1
not 2
of 29
officer 1
often 1
on 6
one 1
only 1
opens 1
opinions 1
opportunity 1
or 1
orders 1
orphaned 1
other 3
our 1
out 2
over 1
overcome 1
pagoda 1
pagodas 1
painting 1
paris 1
part 3
partner 2
passion 1
period 1
perpetually 1
persuade 1
pieces 1
pigeon 1
planning 1
plans 4
ploy 1
po 9
poisoned 1
police 1
