17088523
/m/0417_x1
/m/0417_x1
Patricia Cornwell
1999
a 21
after 3
agreed 1
alarm 1
also 2
always 1
an 1
ancient 1
and 24
are 2
arriving 1
as 1
assailant 1
at 5
attack 1
attempts 1
babylike 1
back 1
be 1
because 1
been 1
before 1
behind 2
belgium 1
believed 1
benton 2
blinds 1
body 4
bon 1
bottle 1
bray 2
breaks 1
brutalized 1
but 5
by 1
calls 1
carry 1
case 3
chandonnes 2
chief 2
claiming 1
clear 1
clothes 1
come 1
committed 1
container 4
control 1
convince 1
deal 1
death 3
deliver 1
diane 1
disease 1
distance 1
do 1
does 1
door 2
dr 5
drugs 1
drugssmuggling 1
during 1
elbow 1
english 1
entire 1
european 1
examiner 1
exams 1
face 1
falls 1
families 1
family 1
find 1
finds 1
fire 1
fluent 1
fly 1
formalin 1
found 2
from 3
garments 1
garou 2
get 3
gets 1
got 1
group 1
grow 1
gun 2
had 2
hair 1
hairs 1
has 3
have 3
he 1
head 1
held 1
her 7
hidden 1
him 3
his 3
house 2
how 1
hypertrichosis 1
in 12
inside 1
intention 1
interpol 1
investigating 2
investigations 1
involved 2
is 18
it 5
jay 2
jo 1
kay 8
keep 1
kill 1
killed 2
killer 1
killing 1
knocks 1
know 1
large 1
le 3
learn 1
left 1
letter 1
liaison 1
little 1
live 1
lord 1
loss 1
louis 1
loup 2
loupgarou 1
lucy 3
makes 2
making 1
man 2
mansion 1
marino 5
medical 1
meet 1
member 2
miami 1
modus 1
murders 1
new 2
nice 1
not 2
nothing 1
of 11
officer 1
oldest 1
on 5
one 2
onto 1
opens 1
operandi 1
operation 1
out 2
over 1
paris 2
part 1
people 1
person 1
points 1
police 3
prowler 1
quickly 1
rare 1
realize 1
realizes 1
really 1
related 1
reported 1
return 1
rich 1
richest 1
richmond 1
rings 1
rumored 1
runs 2
sabotage 2
same 1
says 1
scarpetta 5
seeing 1
seems 1
senator 1
several 1
she 9
shocked 1
shop 2
short 1
since 1
sixtyfivers 1
smugglers 1
some 1
someone 2
son 1
st 1
start 1
still 1
strange 1
struggle 1
talley 1
tattoo 1
team 1
temporarily 1
thanks 1
that 10
the 33
them 2
then 2
there 2
they 3
this 4
throws 1
time 1
to 17
touch 1
tragic 1
tries 1
trip 1
trying 2
unable 1
under 1
virginia 1
voyage 1
wants 1
weapons 1
wears 1
werewolf 1
wesley 1
when 1
which 1
while 2
who 3
with 7
woman 2
working 1
writing 1
written 1
year 1
young 1
