1275522
/m/04pbnd
/m/04pbnd
John Gardner
1987-05-21
2 1
4 1
5 1
a 10
accomplishing 1
act 1
actuality 1
addition 1
adventure 1
after 3
against 1
agent 1
alive 1
an 3
and 6
another 1
are 1
as 2
assignment 1
background 1
baltic 1
be 1
before 2
begins 1
being 5
believes 1
bond 6
book 1
british 2
brought 1
but 1
by 3
cake 5
called 1
captain 1
case 1
chernov 2
close 1
colonel 1
complete 1
completed 1
complicated 1
considered 1
continues 1
countries 1
cream 5
deals 1
debacle 1
defection 1
department 1
dietrich 1
discovered 1
doing 1
double 1
dubbed 2
during 2
east 1
ended 1
extracted 2
extracting 1
fate 1
find 1
for 1
former 2
formerly 1
found 1
further 1
general 1
germany 1
gets 1
getting 1
given 1
gruesomely 1
have 1
having 1
he 1
highly 1
him 1
his 1
honey 1
however 2
identities 1
in 6
instead 1
into 1
involved 1
involves 1
involving 1
is 6
james 1
killing 1
known 1
later 1
learn 1
leaving 1
m 3
man 1
maxim 1
means 1
members 5
message 1
mission 3
more 1
mr 1
murdered 1
new 1
no 1
not 2
now 1
occasionally 1
of 8
off 2
officers 1
one 1
only 1
operation 3
out 1
performed 1
personnel 1
primary 1
ranking 1
record 1
remaining 1
removed 1
same 1
sea 1
seahawk 1
secret 2
secure 1
sent 1
service 2
signature 1
situation 1
smersh 1
smolin 3
soviet 3
soviets 1
spy 1
stealthily 1
subsequently 1
suffer 1
surviving 1
systematically 1
target 1
targeted 1
that 7
the 21
their 2
there 1
they 1
this 1
those 1
to 8
tongues 1
top 1
trap 1
turncoat 2
two 2
wants 1
warning 1
was 2
were 2
west 1
what 1
which 1
with 4
women 4
working 1
years 1
