3775676
/m/09_cfz
/m/09_cfz
Bruce Coville
1995
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
35000 1
a 24
about 1
after 5
afterward 1
again 2
ago 1
agree 1
ahrit 3
alber 1
alias 1
alien 2
all 1
allbright 1
allhuman 1
alone 1
along 1
also 7
an 5
ancient 2
and 27
animal 1
animation 2
another 1
antagonist 1
appear 1
are 3
arent 1
arly 1
arrests 1
arrive 1
arrives 3
art 1
arthur 1
arts 2
as 7
at 3
atlantis 1
attended 1
away 2
battle 2
be 2
beast 1
became 1
been 1
before 1
being 2
belly 1
below 1
between 1
big 1
bit 1
bkr 11
black 1
blue 1
body 3
bomb 1
book 2
both 2
bowels 1
brain 3
braintobrain 1
break 1
bring 1
building 1
bung 1
but 3
by 6
came 2
cannot 1
capture 1
carving 1
cat 1
caught 1
caves 1
chamber 1
chibling 1
circa 1
civilization 1
clue 1
comalike 1
commander 1
complete 1
connected 1
contact 2
contacted 3
contents 1
continuum 1
control 1
could 1
council 1
cousin 1
created 1
crew 4
crucial 3
cure 1
current 2
day 1
decides 1
deep 1
delivering 1
detonate 1
difficult 1
dimension 4
direct 2
disrupt 1
do 3
due 1
during 3
earthling 1
edgar 2
elspeth 2
end 1
ends 1
enemy 1
entire 1
escape 1
escaped 1
even 1
eventually 1
exactly 1
except 1
explaining 1
extenuatingly 1
eyeball 1
fading 1
fallen 1
father 4
ferkada 2
ferkel 5
finally 1
find 3
first 2
fled 1
flinders 7
flow 1
follow 1
for 6
force 1
forced 1
fortunately 1
founders 1
four 1
friend 3
from 10
fully 1
furball 1
galactic 3
get 1
gigantic 2
going 1
got 1
grakker 2
grasp 1
group 1
hairless 1
half 3
handed 2
happened 1
harder 1
has 2
have 1
having 2
he 14
head 2
help 2
him 7
himself 1
his 16
history 1
holding 1
hole 1
hopes 1
hostile 1
how 1
however 1
if 1
imprisoned 1
in 14
incident 1
incidentally 1
including 2
information 4
injured 1
insectoid 1
inspired 1
instead 1
intend 1
into 7
introducing 1
involving 1
is 15
ite 1
its 1
itself 1
journey 2
just 1
khan 2
kill 1
kind 1
know 1
last 2
later 4
laying 1
lead 1
learn 1
learns 1
leaves 2
led 1
left 1
legs 1
life 1
link 1
living 1
long 1
looks 1
loose 1
lost 1
lowest 1
manages 2
master 2
meet 1
mental 2
mentat 7
mentioned 1
merkel 1
message 1
messages 1
mind 2
minds 2
monster 2
mother 1
musclebound 1
named 3
nasty 1
neck 1
needs 2
night 1
normal 1
not 1
nothingness 1
now 1
of 22
off 2
on 1
once 1
one 4
or 1
ordered 1
other 1
others 1
out 2
over 2
painloving 1
part 3
partly 1
past 1
patrol 3
personal 1
picks 1
place 1
plan 1
plans 2
plant 1
pod 1
possibly 1
predicted 1
previous 1
prison 1
probing 1
proves 1
psycho 1
punishment 1
quake 1
question 2
reach 1
real 1
reality 1
reason 1
recapture 1
recovered 1
regard 1
regions 1
released 1
require 1
rescue 1
rescued 1
resembles 1
result 1
resulting 2
reunited 1
reveal 1
revealing 1
reveals 5
reverting 1
rod 16
safe 1
same 1
school 1
search 1
security 1
seek 1
sees 1
selima 2
semialien 1
sentient 1
separate 1
seymour 4
shared 1
she 1
ship 3
side 1
similar 1
sister 1
six 1
small 1
smorkus 8
snout 11
so 1
solution 1
some 1
something 3
soon 2
spacetime 1
species 1
squashed 1
stage 1
stalemate 1
starts 1
state 1
stone 1
stop 2
stored 1
story 1
stowed 1
suspended 2
swap 1
tail 1
taken 1
task 1
that 13
the 63
their 4
them 3
then 1
there 2
they 10
third 1
this 2
though 1
threatens 1
through 1
thrown 1
time 2
to 29
training 1
transfers 1
trio 1
trouble 1
truly 1
truth 1
try 1
turned 1
two 1
twopart 1
unable 1
unknown 1
until 1
up 2
use 1
used 1
vanished 1
vessel 1
wall 1
was 5
well 1
what 1
when 1
where 4
which 2
while 3
who 3
will 1
winds 1
with 12
woman 1
x 3
year 1
years 1
