30273470
/m/0g53qqq
/m/0g53qqq
Catherine Fisher

{"/m/06n90": "Science Fiction", "/m/03mfnf": "Young adult literature", "/m/026ny": "Dystopia"}
a 23
able 1
about 1
actually 1
advancing 1
after 1
aims 1
alive 1
all 6
along 2
always 1
an 3
and 28
another 1
apprentice 2
are 5
arm 1
army 1
as 7
at 1
attia 3
average 1
away 1
awed 1
baby 1
back 1
bad 2
battle 2
be 3
because 4
become 1
becoming 1
believes 1
between 2
body 1
book 1
both 1
brother 1
but 8
by 6
bystander 1
call 1
called 1
capture 1
certain 1
chance 1
character 1
characters 1
claims 1
claudia 5
claudias 1
climaxes 2
clothes 1
comes 1
conflict 1
conflicts 1
connection 1
constant 1
contact 1
council 1
dark 1
dead 1
decide 1
decides 4
depict 1
did 1
didnt 1
die 2
do 2
does 1
dot 1
else 2
enchanter 1
end 1
escape 5
escaped 1
everybody 1
everywhere 1
executed 1
eyes 1
fake 3
few 1
fight 1
finn 9
finns 3
fire 1
first 1
fix 1
following 1
food 1
for 6
from 4
get 1
gets 3
getting 1
giles 4
give 1
glove 4
glowing 1
go 3
goes 1
going 1
governed 1
guy 1
hard 2
has 7
hatches 1
he 18
headed 1
hear 1
helped 1
helper 1
her 4
herself 1
him 4
himself 1
his 5
hold 1
holds 1
huge 2
humanoid 2
if 2
illusion 1
in 12
incarceron 8
inside 1
is 28
it 9
its 4
itself 2
jared 4
just 1
keep 1
keiro 6
killed 2
killing 1
known 1
knows 1
last 1
later 2
learn 1
leave 1
leaving 1
left 1
less 1
lie 1
line 1
little 2
location 1
long 1
looks 1
lost 2
lying 1
magic 2
magicians 1
main 1
make 1
makes 1
man 1
manages 1
matters 1
meanwhile 2
meets 1
memory 1
mentioned 2
mentor 1
microscopic 1
middle 1
millions 2
mini 2
monster 1
more 1
most 1
name 1
nearly 2
nice 1
no 1
not 1
now 1
nursery 1
oath 1
of 10
off 2
old 1
on 5
once 1
one 1
only 1
open 1
or 1
other 1
out 1
outside 1
peace 1
place 4
places 3
pledge 1
plot 1
portal 3
power 2
pretender 2
pretending 1
previously 2
prince 1
prison 12
prisoners 2
protectors 1
protocol 3
pull 1
put 3
puts 2
putting 1
queen 2
queens 3
questions 1
raised 1
reaches 1
realize 1
realizes 1
realm 7
recognizes 1
red 1
remembering 1
revealing 1
revenge 1
ride 1
rix 4
rixs 1
run 1
said 1
sapphique 2
sapphiques 1
see 1
seen 1
sequel 1
setting 1
several 1
she 9
show 1
size 1
so 2
soldiers 1
solved 1
some 2
somebody 2
son 1
standoff 1
stars 2
starts 2
starvation 1
statue 1
steals 1
steel 1
steps 1
story 2
summoned 1
surprising 1
tags 1
taught 1
team 1
technology 1
tells 1
testimonies 1
that 14
the 59
their 1
them 3
then 4
there 5
they 9
this 3
through 2
tidying 1
time 3
to 28
together 2
told 1
too 1
took 1
trades 1
trials 1
turns 1
twelve 1
two 2
ugliness 1
unrecoverable 1
up 2
vengeance 1
viewpoint 1
visions 1
wanted 3
wants 1
warden 1
wardens 1
wardnery 1
was 8
wasnt 2
way 1
we 2
well 1
when 2
where 1
which 5
while 1
who 4
will 1
with 7
wolf 1
working 1
world 1
worse 1
would 1
wouldve 1
