28008977
/m/0ch2rtm
/m/0ch2rtm
Ranulph Fiennes
1991-10-17
17year 1
a 5
air 1
are 2
army 1
as 1
assassinated 1
battle 1
book 1
british 2
but 1
by 4
calling 1
carried 1
claimed 1
clinic 1
communist 1
dubai 1
during 1
feather 1
fiennes 1
forces 1
four 1
group 2
guerrillas 1
he 1
himself 1
hit 1
in 1
including 1
killed 1
known 1
members 1
men 1
murders 1
of 4
oman 1
on 1
orders 1
out 1
over 1
period 1
saved 1
service 1
sheikh 1
soldiers 1
sons 1
special 1
squad 1
story 1
targeted 1
tells 1
that 1
the 8
themselves 1
three 1
two 1
vigilantes 1
was 2
were 1
who 1
whose 1
with 1
