27722629
/m/0c3zwbt
/m/0c3zwbt
Justin Cronin
2010-06-08
{"/m/0kflf": "Vampire fiction", "/m/06n90": "Science Fiction", "/m/03npn": "Horror", "/m/0kz5r": "New York Times Best Seller list", "/m/0c082": "Utopian and dystopian fiction", "/m/0hc1z": "Apocalyptic and post-apocalyptic fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/05mpfk": "Epic Science Fiction and Fantasy", "/m/026ny": "Dystopia"}
1000 2
11 1
3 3
6 1
a 33
abilities 3
about 1
abscond 1
accentuate 1
acquiring 1
across 1
adapts 1
administered 1
after 4
again 1
age 1
agent 1
agents 1
agility 1
ago 1
aka 1
alicia 1
all 4
alone 1
also 1
although 2
ambiguously 1
america 1
among 1
amy 18
an 1
and 43
another 2
any 1
appears 2
approximately 1
are 6
areas 1
army 1
around 1
arrival 4
arrive 1
arrives 1
as 13
assist 1
assumes 1
at 6
attack 1
attacked 1
attacking 1
attempt 1
attempting 1
auntie 1
babcock 11
base 1
batcarried 1
batteries 1
be 3
become 1
becoming 1
been 1
before 2
behind 1
being 4
bellafonte 1
blood 2
bodies 1
bolivian 1
bomb 1
bond 2
boosting 1
botched 1
brad 1
breakin 1
broken 2
brought 1
but 7
by 9
california 1
called 1
camp 1
can 1
carter 2
case 1
cases 1
caused 1
causing 1
cease 1
cells 1
chamber 1
chance 1
character 1
characters 1
children 1
clandestine 1
cleaners 1
collapse 1
collect 1
colonists 1
colony 10
colorado 3
come 2
comfortably 1
coming 1
comments 2
compound 3
conducting 1
confirm 1
conflicted 1
contact 1
contagion 1
control 1
convent 1
convicted 1
correct 1
country 1
covers 1
created 1
crossbow 1
days 1
dead 1
death 4
decide 1
decided 1
decline 1
deliver 1
demonstrates 1
depicted 1
deserted 1
designed 1
despite 1
destroying 1
determine 1
detonate 1
detonated 1
detonates 1
develop 1
developed 1
device 2
devices 1
diary 1
die 1
died 1
differences 1
different 1
discover 1
disposal 1
documents 1
down 1
dr 1
during 5
dust 1
dwellers 1
eight 1
email 1
enable 1
ends 1
endurance 1
enhanced 1
entries 1
entry 2
equipment 1
escape 3
establish 1
established 2
europe 1
eventually 2
exchange 1
expedition 2
expeditionary 1
experiment 1
experiments 1
exponentially 1
exposed 1
fact 2
failing 1
faint 1
fanning 2
fate 1
fbi 2
feeds 1
fema 1
fend 1
fever 1
fifteen 1
figures 2
files 2
find 1
finding 1
first 4
firstdegree 1
fisher 1
following 1
for 10
foraging 1
force 2
form 2
formidable 1
forms 1
forward 1
friction 1
from 10
future 3
gates 1
genetic 1
girl 1
going 1
gone 1
government 3
greer 1
grievously 1
group 7
guards 2
gunshots 1
had 1
hands 1
happened 1
has 7
have 4
haven 3
having 1
he 3
head 1
headed 1
heal 1
healing 1
healthy 1
hear 1
hemorrhagic 1
her 11
herself 2
highly 1
highwattage 1
him 2
his 3
hive 2
hold 1
home 1
hometowns 1
horde 1
hunt 1
immune 2
imposed 1
in 21
including 1
indoaustralian 1
infected 3
infections 1
influence 1
influencing 1
initial 2
initially 1
injured 1
inmates 4
innercolony 1
innocent 1
instead 1
into 4
investigate 1
investigating 1
involves 1
is 32
isolationist 1
it 6
its 2
itself 1
jaxon 1
journal 2
journey 1
keep 1
kill 1
killing 1
known 1
lacey 8
lair 1
las 1
last 2
leading 1
lear 4
leaving 1
left 2
lengths 1
life 1
lights 1
lightsensitive 1
like 2
limited 1
lish 5
live 2
living 2
locations 1
long 1
longer 2
looking 1
lure 1
lures 1
made 1
manages 1
manner 1
many 1
massacre 1
material 2
mature 1
may 1
medic 1
meet 1
meets 1
members 1
mental 1
mentally 1
mentioned 1
met 1
michael 2
military 4
mind 1
modified 2
modifying 1
months 1
most 2
mountain 2
much 1
murder 1
narrative 2
nearby 1
never 1
new 1
news 1
newspaper 1
night 1
nighttime 1
no 2
noah 3
nonetheless 1
not 4
nothing 1
novel 3
now 1
nuclear 2
nun 1
obtain 1
occasional 2
occasionally 2
of 40
old 3
on 1
once 2
one 5
only 3
opposed 1
or 1
ordered 1
original 2
originally 1
originate 1
origins 1
other 5
others 1
out 1
outbreak 4
outpost 4
outside 2
over 4
own 2
part 2
parts 2
patient 1
person 1
peter 2
picking 1
power 1
powers 1
pregnancy 1
presented 1
previously 1
primarily 2
primary 1
prison 1
prisoners 1
project 2
properties 1
protect 1
providing 1
proving 1
psychic 4
purposes 1
quarantine 2
radiation 1
radio 1
railroad 1
rapidly 1
reasonably 1
receiving 1
recognize 1
recruited 2
recruiting 1
recuperative 1
reference 3
referred 2
refined 2
related 1
relatively 2
remaining 2
reports 1
republic 1
rescued 1
responsible 2
rest 1
resulting 1
results 1
retreat 1
retrospectively 1
return 1
returned 1
revealing 1
rituals 1
roswell 2
row 1
sacrifice 1
sacrifices 1
safe 1
same 1
sara 3
second 1
secret 2
section 1
sections 1
seek 1
seemingly 1
seems 1
selfsufficient 1
senior 1
serum 3
serves 1
set 1
settlement 1
several 4
she 10
shifts 1
shorter 1
sickness 1
sign 1
signals 1
similar 1
sister 2
site 3
slow 1
soldier 2
soldiers 1
soon 1
sourced 1
south 1
spares 1
specifically 2
spread 1
stand 1
started 1
stated 2
states 1
stays 1
sterilize 2
still 1
story 2
strength 2
stronger 1
style 1
subject 1
subjects 1
succumbs 1
suggesting 1
suggests 1
suicide 1
super 1
supersoldiers 1
surviving 2
survivors 1
symbiosis 1
sympathetically 1
sympathizers 1
system 2
take 1
taken 3
teacher 2
technician 1
test 1
texan 3
that 12
the 101
their 10
them 4
theorize 1
theorizes 1
theory 1
there 1
these 1
they 7
this 2
threat 1
through 1
throughout 1
time 1
to 40
top 1
towards 1
traditional 1
transporting 1
travel 1
travelers 1
traveling 1
treated 2
true 1
trying 2
twelve 6
twelvethe 1
two 3
under 1
university 1
up 3
upbringing 1
upon 2
us 2
use 1
used 2
using 1
vampiric 1
varying 1
vegas 1
version 1
via 1
victim 1
violent 1
viral 1
virals 8
virus 5
waiting 1
wales 1
was 6
way 1
weapon 1
welcoming 1
well 1
what 1
when 2
where 6
which 5
while 4
who 6
will 5
with 16
within 1
wolgast 4
world 2
would 1
wounded 1
year 2
years 5
yet 1
zero 2
