23960586
/m/076tjmc
/m/076tjmc
Sophie McKenzie
2008
{"/m/02xlf": "Fiction"}
32 1
a 41
abandoned 1
abducts 2
able 2
about 12
accept 1
accepts 1
account 1
accuses 1
across 1
actually 1
after 7
again 2
againsoon 1
against 2
aggressive 1
ago 1
agrees 2
aims 1
alive 1
allows 1
along 1
already 1
also 3
always 1
ambulance 1
america 1
an 6
and 106
angry 2
annoying 1
another 2
any 3
anymore 1
anything 1
apologise 1
apology 1
appears 1
approaches 1
are 10
argument 1
army 1
around 1
arrange 1
arrive 2
arrives 2
article 3
as 18
asking 1
asks 6
asleep 1
assures 1
at 14
attack 1
attacked 1
attempts 1
awake 1
away 5
awkward 1
awkwardly 2
back 8
backpack 1
backseat 1
bacon 1
be 6
beautyobsessed 1
because 2
become 1
bed 1
beds 1
been 2
before 3
begins 3
behind 1
being 2
best 3
better 2
birth 1
blames 1
blanket 1
blood 1
bodyguard 3
bombing 4
book 1
both 3
bound 1
boy 1
boyfriend 1
braces 1
breakdown 1
breaking 1
brings 1
brushed 1
bundles 1
bus 1
business 1
but 3
butties 1
by 11
call 1
called 1
calling 1
calls 1
calm 1
can 3
cant 1
captures 1
car 3
carried 1
catch 1
certain 1
chat 1
chest 1
childhoodfriend 1
classmate 2
clinic 2
clone 3
clones 1
close 1
clothes 1
clothing 1
cold 1
coldly 1
colleague 1
colours 1
combat 1
come 2
comes 7
comfort 2
comforts 1
compare 1
comparing 1
complete 1
connections 1
constantly 1
contact 2
contacts 1
conversation 1
convinces 2
convincing 1
cornered 1
could 2
couple 1
covered 1
crew 1
cries 3
cuts 1
dad 5
dads 1
dance 3
danger 1
dangerous 1
daniel 3
dark 1
date 1
daughter 4
day 5
dc 1
dead 4
death 3
decides 2
deeper 1
delighted 1
demand 1
denies 1
departing 1
describes 1
destination 1
details 1
dinner 2
direction 1
disco 3
discovers 1
distraught 2
diversion 1
do 2
does 2
doesnt 1
door 1
down 2
each 4
eats 1
elijah 16
email 3
emails 1
embarrassed 2
emotional 1
ending 2
ends 1
engineering 1
entire 1
escape 1
escapes 1
escorting 1
especially 1
even 2
evening 1
eventually 1
ever 1
everyone 1
everything 1
everywhere 1
expects 1
explain 1
explains 2
extremely 1
exwife 1
face 1
fails 1
fallen 1
falls 1
father 19
feel 2
feeling 1
feelings 1
feels 2
fiercely 1
fifteen 2
find 4
finding 1
first 1
fit 2
flirt 1
for 14
forced 1
forehead 1
forgive 1
friend 1
friendly 1
from 9
future 1
gang 1
gathers 1
gene 2
genetic 3
genie 2
germany 2
get 4
gets 1
girlfriend 1
girls 1
given 1
gives 4
glassman 2
go 5
goddess 1
goes 8
going 4
goodbye 2
goodbyes 1
got 1
gotten 1
grabs 1
gratefully 1
groans 1
group 1
gun 3
hack 1
hacked 1
hacker 1
hacks 1
had 4
hair 1
hamandmayonnaise 1
hand 1
hands 1
happened 1
happy 1
hard 1
has 7
hastily 1
have 7
having 2
he 39
head 1
headmistress 1
hears 1
heart 3
heaven 1
help 3
her 53
here 1
hers 1
herself 1
hides 1
hiding 1
high 1
highly 2
him 27
himself 3
his 41
hit 1
hold 2
holding 2
holds 1
home 3
hope 1
horrified 1
hospital 4
hostage 1
hour 1
hours 1
house 9
how 5
hug 1
hugs 1
hungry 1
hurt 1
husband 1
i 1
if 7
imagining 1
in 27
indeed 1
information 2
intends 1
interesting 1
internet 1
into 7
introduced 1
involved 1
is 42
it 9
jake 5
james 1
jemima 3
journey 1
just 3
kidnaps 1
killed 1
kills 1
kisses 1
knew 3
knocks 1
know 2
laptop 5
lately 1
later 7
lawson 1
lazio 2
leader 1
learns 1
leave 3
leaves 3
leaving 1
led 1
left 1
let 3
lewis 13
lied 1
lies 3
life 3
like 2
listen 1
little 1
locked 1
locks 1
london 1
look 1
looking 1
looks 3
lose 1
low 1
magazines 1
make 1
makes 1
man 5
masks 1
match 1
max 10
may 1
meantime 1
meanwhile 1
meet 5
mel 8
men 1
mentions 1
moment 1
months 2
more 1
mother 16
motorway 1
mouth 1
movie 1
mrs 2
muffle 1
mum 2
name 1
named 1
narrative 1
near 1
nearly 1
neckline 1
need 1
needed 1
never 1
new 3
next 2
nice 1
night 2
not 2
notes 1
now 2
nowdeceased 1
number 1
of 25
off 2
offered 1
office 2
often 1
old 1
on 14
once 2
one 1
online 1
only 2
onto 2
opposite 1
or 1
order 1
other 7
others 1
out 11
outburst 1
outfit 1
over 3
pack 1
parents 2
park 1
past 1
pasts 1
pats 1
people 1
pillow 1
plan 2
plane 1
plans 1
point 1
possibly 1
presents 1
previously 1
protests 1
published 1
pulls 2
punches 1
puts 1
questions 1
quickly 1
rachel 63
rage 2
reading 1
realises 1
realizing 1
really 1
reassures 1
rebecca 4
received 1
receives 1
reflects 1
refuses 2
relation 1
relocation 1
reluctant 1
reluctantly 1
remembers 1
rescue 1
rescued 1
research 2
returning 1
revealed 1
reveals 1
richard 6
righteous 1
rings 1
rollercoaster 1
room 2
roy 3
run 2
running 2
safe 3
said 1
same 1
sandwich 1
saw 1
say 1
saying 3
says 11
school 9
scotland 1
screams 2
search 1
searches 1
second 1
sedated 1
see 7
seeing 1
seem 1
sees 1
sent 2
setup 1
shakily 1
shaking 1
shaky 1
she 25
shirt 1
shocked 1
shocks 1
shoots 1
shouts 1
shows 1
side 1
sister 2
sit 1
sits 1
slightly 1
slip 1
smith 5
sneak 1
so 6
sobs 2
softly 1
some 2
son 4
soon 1
sorry 1
sort 1
spending 1
stand 1
star 1
start 2
station 1
steps 1
still 1
stop 1
stopped 1
stops 2
street 1
strokes 2
struggles 1
student 1
suddenly 1
suitable 1
suspects 1
switch 1
table 1
takes 3
talking 1
talks 1
taster 1
tell 2
telling 1
tells 7
tend 1
tenderly 1
terrified 1
text 2
that 29
the 65
their 4
them 12
then 3
theo 67
there 1
they 18
theyve 1
things 2
thinks 2
though 1
thought 1
threat 1
threatening 1
three 1
thrilled 1
through 1
ties 2
time 2
tired 1
to 77
together 3
told 1
too 1
towards 1
town 1
tracks 1
train 1
training 1
transplant 1
transported 1
tries 1
trip 1
trouble 1
true 1
trust 1
truth 1
tugs 1
turn 1
turns 1
two 3
unanswered 1
uncomfortably 2
unravel 1
until 2
up 8
use 1
view 1
violently 1
waiting 1
wake 1
wakes 2
walking 1
was 6
we 2
weetheart 1
weird 1
what 5
when 4
where 4
whether 2
which 5
while 2
who 9
whom 2
why 2
will 5
window 1
with 16
witnessed 1
witnesses 1
wonders 2
work 2
worked 2
would 2
year 1
years 1
yet 1
younger 1
