346145
/m/01yr0f
/m/01yr0f
Betty MacDonald
1945
a 9
about 1
admits 1
after 1
again 1
against 1
air 1
an 1
and 8
anecdotal 1
as 2
at 1
author 2
be 1
beautiful 1
bed 2
been 1
before 1
begins 1
bob 1
book 2
brother 1
but 2
by 1
care 1
career 1
carried 1
chicken 1
chicks 1
childhood 1
comes 1
conditions 1
constant 1
couple 1
current 1
description 1
dream 2
eager 1
encourages 1
engineer 1
envy 1
exist 1
expresses 1
family 2
father 1
fire 1
fish 1
followed 1
for 3
frequently 1
fresh 1
friend 1
from 2
full 1
going 1
gone 1
guest 3
had 4
hand 1
he 1
her 11
his 4
hours 1
house 1
husband 4
in 3
installed 1
into 2
is 4
job 1
keep 1
keeping 1
knowing 1
leave 1
life 1
live 1
long 1
lounged 1
macdonald 4
marries 1
morning 1
mother 1
moved 1
must 1
need 2
needs 1
night 1
nothing 1
of 5
office 1
on 1
one 1
or 2
out 2
pit 1
play 1
point 1
pointing 1
pond 1
primitive 1
proverbial 1
purchases 1
ranch 2
ranching 1
rely 1
scenery 1
set 1
several 1
she 2
situation 1
soon 1
start 1
stayed 1
stories 1
stove 1
struggle 1
such 1
summary 1
sunrise 1
support 2
surroundings 1
tales 1
tank 1
that 8
the 16
then 2
theory 1
they 1
thinks 1
this 1
throughout 1
to 7
turns 1
unprepared 1
until 1
up 4
upon 1
was 1
water 2
west 1
when 1
which 2
while 1
who 1
wife 1
with 3
working 1
