385817
/m/02256v
/m/02256v
Väinö Linna
1954-12-03
a 7
aika 1
all 3
aloof 1
amusement 1
an 1
and 16
archetypes 1
are 2
armistice 1
as 1
attitude 1
attitudes 2
backgrounds 1
be 2
begins 1
both 2
boys 1
brave 2
businesslike 1
but 2
can 1
central 1
character 1
characters 3
come 2
comedian 1
communist 1
company 1
coping 1
country 1
cowards 1
cynical 1
deeply 1
describing 1
description 1
different 3
discipline 1
disillusioned 1
disrespect 1
done 1
downtoearth 1
embody 1
ends 1
enemy 1
eventually 1
excels 1
experience 1
explanation 1
final 1
finnish 1
focus 1
for 4
formalities 1
fraternal 1
from 3
frustration 1
general 1
get 1
good 1
grunt 1
hardened 1
has 2
have 3
he 2
heroes 1
hietanen 1
his 3
household 1
idealist 1
idealistic 1
in 4
indifferent 1
initially 1
ironic 1
is 6
it 3
its 1
job 1
just 1
kariluoto 1
koskela 1
lahtinen 1
later 1
lehto 1
lieutenants 1
like 1
linna 3
little 1
love 1
loyal 1
machinegun 1
made 2
main 1
many 1
men 8
microcosm 1
mobilisation 1
naive 1
names 1
narrator 1
nation 1
no 1
normally 1
novel 2
of 18
offensive 1
officer 1
officers 2
official 1
old 1
omniscience 1
on 2
one 4
only 1
or 1
outright 1
over 1
own 3
paints 1
patchwork 1
picture 2
platoon 1
play 1
political 1
politically 1
portraits 1
preternaturally 1
propaganda 1
prussian 1
psychology 1
quite 1
realistic 1
reference 1
regiment 1
region 1
relaxed 1
relaxedly 1
responses 1
result 1
rokka 1
same 1
school 1
score 1
seen 1
sentence 1
single 1
social 1
some 1
something 1
source 2
sternest 1
story 1
strict 1
strongnerved 1
sympathetic 1
tells 1
that 1
the 28
their 2
them 1
there 1
they 2
three 1
to 7
units 1
unusual 1
up 1
upperclass 1
vanhala 1
varying 1
velikultia 1
very 1
war 2
ways 1
were 1
who 1
whole 1
whom 2
widely 1
with 1
without 1
workingclass 1
yet 1
