2762926
/m/081836
/m/081836
Mary Stewart
1988
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature", "/m/01qxvh": "Romance novel"}
16th 1
a 4
about 1
after 1
also 1
among 1
and 4
as 5
at 1
attractive 1
becomes 1
century 1
child 2
christopher 2
community 2
cousin 3
dead 1
dryden 2
duncane 1
edinburgh 1
effort 1
eyes 1
finds 1
geillis 3
gilly 3
her 6
herbalist 1
his 1
house 1
however 1
in 3
inherits 1
is 5
isolation 1
late 1
lives 1
local 1
lonely 1
made 1
magical 1
mother 2
name 1
named 1
no 1
normal 1
of 1
out 2
pointed 1
points 1
popular 1
present 1
quickly 1
ramsey 1
real 1
reputation 1
rural 1
see 1
she 2
son 1
story 1
that 1
the 6
themselves 1
this 1
through 1
to 2
tried 1
unusual 1
was 2
well 1
when 1
white 1
who 3
widowed 1
witch 2
with 1
woman 1
world 1
worries 1
writer 1
young 2
