7817
/m/025zx
/m/025zx
John Irving
1985
15 1
a 13
able 1
abortion 2
abortionist 1
abortions 2
about 1
admirable 1
adopt 1
adoptive 1
affair 1
after 3
afterward 1
against 1
alongside 1
also 1
an 12
and 21
angel 3
apple 2
are 2
arm 1
as 5
assistant 1
at 4
babies 1
back 2
backalley 1
become 1
becomes 4
becoming 1
befriends 1
being 2
believe 1
best 1
birth 1
born 1
both 1
broke 1
brutally 1
burma 3
but 6
by 4
came 1
can 2
candy 6
catalyst 1
character 1
charges 1
child 1
childhood 2
choice 1
choosing 1
circumstances 1
claiming 1
clear 1
cloud 2
coast 1
come 1
comes 1
comfortable 1
complicated 1
considers 1
continues 1
couple 1
daughter 1
day 1
dead 1
death 1
decided 1
decides 1
develops 1
director 2
distance 1
distaste 1
does 1
down 2
dr 4
dreams 1
driven 1
due 1
easily 1
effort 1
electrician 1
emotional 1
entire 1
entirely 1
eventually 1
extremely 1
falls 1
family 3
father 1
feel 1
female 1
find 1
first 1
flashbacks 1
follows 1
for 3
found 1
free 1
friends 1
from 3
girlfriend 1
give 1
go 1
goes 1
going 1
grew 1
grows 1
have 2
having 1
he 9
head 1
heart 1
hell 1
help 1
her 3
herself 1
him 3
his 7
history 1
home 1
homer 17
honoring 1
horrors 1
in 10
infection 1
instead 1
intercourse 1
into 1
is 12
it 2
keeping 1
kendall 1
larch 4
lasts 1
later 2
learning 1
leaves 2
legacy 1
legal 1
lie 1
lives 2
longer 1
lorna 1
love 4
lover 1
maine 1
maintain 1
maintaining 1
maintains 1
make 1
makes 1
man 3
many 1
marry 1
medical 1
melony 2
migrant 1
military 1
misadventure 1
missing 1
morally 1
more 1
move 1
named 1
near 1
new 1
no 1
nose 1
not 1
obliged 1
obstetrician 1
ocean 1
of 9
off 1
offer 1
on 3
operations 1
orchard 3
orchards 1
orphan 1
orphanage 9
orphans 1
over 1
paralyzed 1
parentage 1
patients 1
performs 1
plane 1
point 1
position 1
pregnancies 1
pregnant 2
press 1
presumed 1
prostitute 1
received 1
refuses 1
relations 1
relationship 1
reluctantly 1
replacement 1
retaliate 1
return 1
returns 2
rock 1
rose 2
safe 1
secret 3
secretly 1
seen 1
sex 1
sexual 2
she 6
shortly 1
shot 1
so 4
some 1
spend 1
spends 1
st 2
sterile 1
still 1
stoic 1
subplot 1
subsequently 1
takes 1
teenaged 1
that 6
the 26
their 2
them 2
then 2
they 4
this 1
though 1
to 20
told 1
trains 1
transforms 1
transition 1
traumatic 1
turns 1
unwanted 1
up 2
upon 1
use 1
view 1
waist 1
wally 6
war 1
was 1
wells 1
when 2
where 2
who 4
whose 1
wilbur 7
with 5
woman 1
women 1
work 2
worker 1
worthington 1
wrong 1
years 2
young 3
