17874327
/m/047dgzl
/m/047dgzl
Michael Scott

a 5
activate 1
adjusting 1
after 1
aided 1
alcatraz 2
ally 1
also 1
an 4
ancient 1
and 23
arc 2
archon 3
are 4
areopenap 3
army 1
as 1
at 3
attacked 1
attacks 1
attempt 1
aura 1
awakened 2
back 2
badb 2
battle 1
be 2
been 1
being 1
billy 1
boat 1
body 1
but 5
by 8
called 1
can 1
cannot 1
cernunnos 3
city 1
clarent 1
contact 2
crow 1
dark 1
dee 3
defeating 1
deliberately 1
do 1
dr 2
elder 1
elders 1
end 1
engage 1
enlist 2
era 1
escape 2
escaping 1
even 1
excalibur 1
find 1
flamel 5
fleeting 1
flies 1
for 1
forces 1
found 1
francis 1
francisco 1
friendly 1
from 1
fuse 1
gabriel 1
get 1
gilgamesh 6
god 1
goddess 1
grabs 1
greeted 1
had 2
has 3
have 1
he 3
help 3
hence 1
her 3
his 5
home 1
hometown 1
horned 1
hounds 1
how 1
human 1
hunt 3
if 1
in 5
insane 1
is 7
island 1
it 1
its 2
joan 2
john 1
joined 1
josh 1
junkyard 1
kid 1
kill 1
killing 1
king 2
knight 1
know 1
knowledge 1
known 1
leader 1
ley 2
lines 2
london 2
loses 1
macha 2
machiavelli 2
mainland 1
make 1
makes 1
making 1
manage 1
meanwhile 1
more 1
morrigan 2
most 1
must 1
mysterious 1
named 1
narrowly 1
new 2
newly 1
nicholas 1
no 1
not 1
of 9
on 3
onslaught 1
other 1
others 1
pack 1
pair 1
palamedes 4
pass 1
people 1
perenelle 6
poisoned 1
power 1
powerful 1
powers 3
prehistoric 1
protect 1
refuses 1
rescue 1
resided 1
retaken 1
return 1
returns 1
reuniting 1
san 1
saracen 1
scathach 2
scrying 1
set 1
shakespearethe 1
sisters 1
snare 1
sorceress 1
sphinx 1
spider 2
spiders 1
steals 1
still 1
stonehenge 2
strongest 1
sufficiently 1
suppressed 1
survive 1
sword 2
swords 1
take 1
takes 1
taught 1
teach 1
than 1
that 3
the 39
their 4
them 6
then 1
they 6
though 1
time 1
to 23
together 2
trap 1
trapped 3
travelling 1
tricks 1
try 2
twin 1
twins 8
two 2
unable 1
unfortunately 1
untrustworthy 1
use 2
uses 1
using 1
vicious 1
wait 1
was 1
what 1
where 2
while 3
who 1
wild 3
will 2
with 6
withholds 1
wolf 1
words 1
work 1
wounded 1
wounding 1
