2073882
/m/06kbh7
/m/06kbh7

1906
{"/m/02js9": "Erotica"}
120 1
13th 1
50yearold 1
512 1
a 5
about 1
accomplished 1
actual 1
actually 1
ages 1
aging 1
all 2
almost 1
although 1
amounts 1
an 1
anatomy 1
and 5
antics 1
back 1
bears 1
becomes 1
before 2
begins 1
behavior 1
between 1
book 3
brothel 1
brothels 1
by 1
cataloging 1
child 1
content 1
contrary 1
courtesan 1
days 1
de 1
description 1
device 1
during 1
employed 1
ends 1
enjoyed 1
enter 1
entirely 1
entirety 1
escapades 1
euphemisms 1
events 1
exhibited 1
fellatio 1
firstperson 1
five 1
for 1
format 1
from 2
graphic 1
group 1
her 2
heroine 1
homosexuality 1
human 1
in 6
incest 1
indicates 1
is 7
its 2
josephine 2
laundry 1
licensed 1
list 1
little 1
looking 1
makes 1
manner 1
many 1
marquis 1
memoir 1
more 2
mutzenbacher 1
narrative 1
of 13
old 3
passing 1
place 1
plot 1
point 1
pornographic 1
professional 1
progression 1
prostitute 1
prostitution 1
quaint 1
rape 1
reaching 1
reckless 1
resemblance 1
sade 1
seem 1
service 1
sex 1
sexual 3
sexuality 1
she 4
sodom 1
story 1
structured 1
style 1
taboo 1
takes 1
than 2
that 2
the 19
title 1
to 5
today 1
told 1
twelve 1
unabashed 1
unapologetic 1
unbridled 1
upon 1
use 1
vienna 2
viennese 1
view 1
what 1
when 3
who 1
year 1
years 3
youth 1
