824327
/m/03f4fx
/m/03f4fx
David Brin
1993
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature", "/m/05hgj": "Novel"}
a 36
actions 1
actually 1
adaptation 1
adjusted 1
adolescence 1
advanced 1
advantage 1
after 3
afterward 1
against 1
aggressive 1
alive 1
all 2
alliance 1
almost 1
also 3
among 1
an 8
and 31
another 2
any 1
are 10
arrangements 1
as 9
at 3
attempt 1
author 1
authority 1
banking 1
base 2
based 1
battle 2
be 2
bear 1
because 5
become 1
becomes 2
been 1
before 1
beginning 1
beings 1
between 2
biological 1
bosun 1
branch 1
briefly 1
business 1
but 1
by 5
can 1
cause 1
causing 1
centuries 1
characterized 1
characters 1
charlotte 1
children 3
clan 2
classic 1
classical 1
climactic 1
clonedaughters 1
clones 6
colony 1
commercial 1
competition 2
completed 1
conceive 2
conceived 1
confined 1
conflict 1
consists 1
continuing 1
courier 1
crew 1
culture 1
current 1
daughters 1
decides 1
defense 1
despised 1
detectives 1
develop 1
developed 1
develops 1
device 1
different 1
disappears 1
discovers 4
do 2
dominate 1
dominated 1
doomed 1
dragged 1
drawers 1
drugs 2
during 3
each 1
earthquake 1
education 2
effort 1
ejects 1
electrically 1
eliminate 1
end 2
engineers 1
equilibrium 1
escape 4
escapes 1
evil 1
evolutionary 2
exception 1
exist 1
explore 1
extremely 1
facility 2
faction 2
famine 1
far 1
father 1
fellow 1
female 6
females 1
feminist 1
few 1
fighting 1
finally 1
financially 4
find 1
finds 3
fix 1
follows 1
for 1
former 3
found 1
founder 1
founds 1
fraction 1
freed 1
friction 1
friendship 2
from 4
further 1
gain 1
generation 1
genes 1
gilman 1
group 4
groups 3
had 1
happier 1
has 1
have 3
he 1
heads 1
health 1
heartbroken 1
help 1
helpers 1
helping 1
helpless 2
her 9
herland 1
hewers 1
himself 1
hive 5
hives 1
hope 1
however 2
human 3
humanity 1
identical 1
ie 1
illegal 2
immediately 1
importexport 1
impoverishes 1
imprisoned 1
imprisonment 1
in 14
including 1
initiated 1
injured 2
intense 1
interstellar 1
into 2
invite 1
involved 1
involves 1
is 20
island 2
isolated 2
it 2
its 4
jellicoe 3
job 1
just 1
keepers 1
kidnapped 1
killed 1
lamatia 2
larger 2
late 1
later 2
led 1
legal 2
legally 1
leie 4
less 2
letting 1
life 2
like 1
literally 1
long 1
longlost 1
lost 1
lowtechnology 1
lysos 1
maia 16
majority 1
male 6
males 3
man 1
manufacturing 2
many 2
masters 1
mate 2
meets 1
member 1
members 1
men 9
messages 1
mixtures 1
molecular 1
more 1
most 3
much 1
mythical 1
named 2
names 1
naroin 5
naval 1
niche 1
nonclone 1
normal 3
not 4
notifies 1
novel 1
numerous 2
of 45
off 1
offer 1
on 6
one 2
only 1
opening 1
opposed 1
other 1
over 2
overcame 1
own 1
part 1
pass 1
pastoral 3
people 2
perform 1
perhaps 1
period 3
perkinites 2
perkins 1
pirates 1
plan 2
planet 2
planetary 1
platonic 1
plot 1
police 1
political 3
politics 1
poor 2
population 1
portrayed 1
possibly 1
practical 2
prison 1
prisoner 2
prisoners 1
problems 1
produce 1
professions 1
prominent 1
provides 1
radicals 5
railroad 2
reach 1
reappears 1
rearrange 1
receptive 2
receptivity 2
recruits 1
recuperates 1
recuperating 1
reengineer 1
relatively 1
remain 1
renna 7
reproduce 1
rescue 1
resolves 1
result 1
retains 1
reveals 1
right 1
running 1
said 2
sailors 5
sanctioned 1
scheme 1
sea 1
seasons 1
selfcloning 1
selfinterested 1
separate 1
severely 1
sexual 3
sexually 2
she 11
ship 2
ships 2
side 1
sink 1
sister 1
small 1
so 3
social 2
societies 1
society 6
sole 1
solves 1
some 2
somehow 1
source 1
spaceship 1
spark 1
specialize 1
stable 2
starts 1
static 1
steal 1
still 1
stimulants 1
story 2
strain 1
strains 1
stratos 9
successful 4
such 2
summer 4
summoned 1
symbol 1
talks 1
team 1
telegraph 1
telegraphing 1
tells 1
that 13
the 42
their 3
them 2
themselves 2
then 1
these 1
they 7
things 1
this 2
thousand 1
three 1
time 1
times 1
to 20
trying 1
twins 3
two 1
typical 1
ultimately 1
unbeknownst 1
unengineered 1
unfortunately 1
unsuccessful 1
up 1
upset 1
valley 1
var 2
variant 3
variation 1
variations 1
vars 2
vast 1
very 1
via 1
violence 1
virtuous 1
visitor 2
water 1
when 1
which 1
while 2
who 3
winter 3
with 5
woman 1
women 5
wood 1
work 1
years 1
