5884004
/m/0fbr5c
/m/0fbr5c
Gabriel García Márquez
1955
{"/m/0l67h": "Novella"}
a 14
accompany 1
actually 1
addition 1
after 4
against 1
aging 1
aid 1
ailing 1
all 1
allows 1
aloud 1
also 3
although 1
always 1
amount 1
an 6
and 17
another 2
apparent 2
appear 1
are 3
as 14
at 9
attention 2
aureliano 1
away 1
back 1
backward 1
banishment 1
be 3
because 4
bedrocks 1
been 2
begin 1
being 1
between 1
blind 1
boat 1
book 1
boy 3
boys 1
brought 1
buenda 1
burial 1
bury 2
burying 1
but 3
by 4
came 1
can 1
carries 1
center 1
changes 2
characters 3
cholera 1
chronicle 1
civil 2
clear 1
collectively 1
colonel 7
colonels 1
come 1
commits 1
committed 1
company 1
complete 1
conclusion 1
conflict 1
consciousness 2
consciousnessthe 1
consensus 1
contemplates 1
corner 1
corpse 1
country 1
culture 2
cyclicality 1
daughter 1
death 8
deathas 1
decade 1
deceased 2
demeanour 1
demonstrates 1
denied 1
description 1
different 1
discovered 1
do 1
doctor 15
doctors 4
doomed 1
door 1
down 1
dozen 1
drama 1
dramatic 1
due 1
each 2
enables 1
ended 1
even 1
ever 1
exhibited 1
expense 1
face 1
fact 1
family 5
father 2
female 1
fluidity 1
for 5
foretold 1
form 1
former 2
forth 1
from 3
garca 1
given 2
giving 1
goes 1
going 1
grace 1
grandfather 1
grandson 1
had 4
half 1
hand 1
has 2
hate 1
having 1
he 9
help 1
her 3
high 1
him 1
himself 2
his 12
history 1
home 1
house 3
houses 1
how 1
however 1
hundred 2
identified 1
illusion 1
immediately 1
important 1
in 21
indigenous 1
inferred 1
information 1
inordinate 1
inside 1
interaction 1
internal 1
introduces 1
inversion 1
involved 1
is 26
isabel 3
isabels 1
isolation 3
it 5
itself 1
jump 1
just 1
knowing 1
knows 1
landing 1
later 1
lead 1
leads 1
leaf 1
leaving 1
left 1
letter 2
life 2
little 1
lived 1
living 3
locals 1
locking 1
love 1
loyal 1
lustful 1
macondo 7
macondos 1
made 1
magical 1
maid 1
main 1
maintains 1
make 1
man 2
manifests 1
manipulation 1
many 3
medias 2
medical 1
medicine 2
meme 2
men 1
middle 1
mind 2
moment 1
monologues 1
more 3
mother 1
moves 2
mrquez 1
multiple 2
mysterious 1
mystery 1
name 1
narrative 7
narrator 2
narrators 2
narratorsthe 1
nearly 1
neighbors 1
no 1
nonetheless 1
not 4
novella 3
obliged 1
occurs 1
of 44
off 2
omniscient 1
on 2
once 1
one 4
only 3
opening 1
or 1
other 3
out 3
outcast 1
paragraph 1
past 3
people 2
perspective 1
perspectives 1
pieces 1
place 1
point 1
points 1
popular 1
practice 2
preoccupied 1
present 2
promise 1
proper 1
provide 1
puts 1
rank 1
reader 2
realism 1
reason 1
receive 1
recently 1
reclusive 2
recommendation 1
reflected 1
reflecting 1
refused 1
refuses 1
rehashing 1
relationship 1
reminder 1
res 1
resmarquez 1
respect 1
respected 1
result 2
risks 1
rot 1
save 1
saving 1
scene 1
scorned 1
search 1
see 1
seek 1
selfinflicted 1
serves 1
several 1
she 2
should 1
shown 1
social 1
soldiers 1
solitude 3
solitudesolitude 1
son 1
speaking 1
specifically 1
spite 1
stake 1
starts 4
stories 1
storm 1
story 5
stranger 1
stream 3
such 2
suggested 1
suicide 3
surrounds 1
takes 1
talking 1
technique 1
techniques 1
tell 1
ten 1
than 1
that 18
the 94
their 3
them 3
theme 2
themes 1
then 2
there 1
these 2
they 3
things 1
this 7
thoughts 2
through 3
ties 1
time 6
title 1
to 28
together 1
told 1
townspeople 2
traditional 1
trail 1
treatment 2
two 1
type 1
ultimate 2
unfolds 1
up 3
use 1
used 1
values 1
very 1
view 1
village 1
wake 3
war 3
warit 1
wars 1
was 1
well 1
when 2
where 1
which 1
while 3
who 2
whoever 1
will 4
with 11
within 4
without 1
wonder 1
wounded 2
wrath 1
years 3
