11717427
/m/02rpzfn
/m/02rpzfn
Carl Sargent

a 2
adopted 1
adventure 2
an 2
and 3
are 1
as 1
at 2
away 1
basic 1
become 1
behind 1
belonging 1
but 1
certain 1
characters 5
confront 1
dead 2
demise 1
dungeon 1
embroiled 1
enemy 1
enter 1
extended 1
first 1
greatly 1
half 2
harvest 1
he 1
heal 1
his 2
ilyana 1
in 3
into 2
is 1
items 1
kavorquian 2
keeping 1
lair 1
leads 1
left 1
mad 1
missing 1
must 3
nether 1
objects 1
obtain 1
of 5
offers 1
opponents 1
outgunned 1
outnumbered 1
patiently 1
penhaligon 2
perilous 1
player 4
politics 2
presents 1
pretender 1
progresses 1
property 1
queen 1
reaches 1
recover 1
regroup 1
royal 1
second 1
siege 1
silent 1
son 1
story 1
stronghold 2
the 19
then 1
they 1
throne 1
time 1
to 5
ultimately 1
vaults 1
venture 1
were 1
where 1
while 1
whittle 1
withdraw 1
wizard 3
