4784676
/m/0cn65r
/m/0cn65r
Robin McKinley
2000-05
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
20 1
21 1
21st 1
a 18
about 1
accepted 1
actually 1
addition 1
adoptive 2
affectionately 1
after 1
almost 1
also 2
an 2
and 20
animals 3
announces 1
appears 2
are 1
as 7
aspect 1
assist 1
at 1
aunt 3
away 1
baby 1
be 2
beauty 1
because 1
becomes 1
being 1
best 1
between 2
birthday 1
bit 1
blacksmith 1
book 4
books 1
bottom 1
breeches 1
broken 1
but 2
by 2
called 1
care 1
cares 1
cast 1
central 1
character 1
child 2
children 1
claiming 1
classic 1
country 3
courageous 1
curse 1
cursed 1
damar 2
damp 1
daughter 1
deals 1
deathly 1
deep 1
defeat 2
despite 1
different 1
does 1
dont 1
dresses 1
embroidery 1
encouragement 1
end 1
ends 1
especially 1
events 1
every 1
fairy 4
fall 1
family 4
final 1
finger 1
foggy 1
for 3
friend 2
from 3
get 1
gig 2
grows 2
harimadsol 1
has 1
headstrong 1
help 2
her 11
hidden 1
historical 1
horse 1
however 1
husband 1
identities 1
ikor 1
implied 1
importance 1
in 7
inclined 1
infuses 1
intelligent 1
into 2
is 6
it 1
journey 1
katriona 5
katrionaand 1
kinds 1
known 2
ladylike 1
last 1
later 1
leech 1
located 1
longs 1
lost 1
love 2
loved 1
magic 2
maiden 1
mckinley 2
mentioned 1
months 1
more 2
mother 1
mysterious 1
named 1
nameday 2
names 1
naming 1
narl 1
need 1
not 1
of 13
old 1
on 6
one 1
only 1
ordinary 1
over 1
parents 1
passed 1
peony 3
people 1
pernicia 4
places 1
plan 1
play 1
point 1
powerful 1
practice 1
prick 1
princess 5
queen 1
raise 1
rare 1
rescued 1
reveals 1
role 1
rosie 12
same 2
secretly 1
section 1
sequel 1
set 1
she 1
silent 1
sleep 1
sleeping 1
small 1
spell 2
spindle 3
stubborn 1
swampy 1
switches 1
taciturn 1
taken 1
tale 1
talentbeastspeech 1
talented 1
than 1
that 5
the 28
their 1
there 1
these 1
this 1
though 1
three 1
throughout 1
to 7
town 2
turns 1
twentyone 1
unknowingly 1
until 1
various 1
version 1
village 2
way 1
wear 2
wellknown 1
when 1
which 1
whittle 1
who 1
wicked 1
will 2
with 2
woman 1
world 1
years 1
young 2
