522331
/m/02l5ps
/m/02l5ps
Enid Bagnold
1935
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
120s 1
144 1
14yearold 1
160 1
162 1
178 1
2008 1
54 1
a 24
ability 1
about 1
accident 1
accomplish 1
accordingly 1
actually 1
addition 1
adventures 1
after 7
aintree 1
aired 1
all 1
american 4
an 2
and 21
angela 1
ann 1
anne 1
anthony 1
arizona 2
as 3
assistant 1
at 1
aunt 2
be 1
because 1
become 2
becomes 1
best 2
both 2
boyfriend 1
britain 1
brown 4
but 1
butcher 1
bw 1
by 3
byron 1
capt 1
car 1
celebrities 1
channel 3
cheapened 1
child 1
clearance 1
clearly 1
coach 1
coastal 1
cobbled 1
colour 1
committee 1
competitor 1
complete 1
connections 1
creature 1
crisp 1
cross 1
customers 1
day 2
delicate 1
descendant 1
did 2
die 1
discovered 1
dismayed 1
distracted 1
document 1
does 1
donald 1
doran 1
down 1
dream 1
dreaming 1
drowning 1
due 1
earns 1
echoing 1
elizabeth 1
engaged 1
england 2
english 3
entering 1
episodes 1
equine 1
event 2
evidence 1
exhaustion 1
exonerates 1
faithful 1
fake 1
falls 1
fame 1
familiar 1
family 2
famous 1
fascinated 1
father 4
fence 1
field 1
film 4
finds 1
firstaid 1
fivefoothigh 1
focuses 1
for 6
formerly 1
fraud 1
friend 1
from 2
genre 1
get 1
getting 1
girl 2
glory 1
go 1
goes 1
grand 3
great 2
greatness 1
gymkhana 1
halfhour 1
happen 1
helped 1
her 18
highly 1
highstrung 1
him 5
his 2
history 1
home 1
hopkins 1
horse 10
horses 2
hunt 1
in 23
inheriting 1
insists 1
instant 1
international 1
into 1
introduces 1
involved 1
is 14
it 1
its 1
james 2
jeffrey 1
jockey 1
john 2
johnson 1
jump 1
keepsake 1
king 1
lansbury 1
late 1
later 1
left 1
less 1
like 1
lives 1
living 2
local 1
lori 1
made 2
man 1
many 1
martin 1
mccallion 1
medal 1
merchandising 1
mi 5
michael 1
mickey 1
money 1
more 1
mother 2
mrs 1
name 2
named 3
nanette 1
national 6
nbc 1
nearly 1
nervous 1
newman 1
newsreels 1
next 1
ninth 1
no 1
not 1
notoriety 1
novel 2
objects 1
obsessed 1
obtains 1
of 9
off 1
olympic 1
on 3
once 1
one 3
oneal 1
or 2
ordinary 2
orphaned 1
out 1
over 1
owning 1
parents 1
particularly 1
passing 1
person 1
persons 1
pie 5
piebald 4
presents 1
publicity 1
purchase 1
race 2
racecourse 1
racing 2
raffle 1
rather 1
represent 1
return 1
returns 1
revere 1
rides 2
riding 2
rooney 1
russian 1
sarah 7
saunders 1
saying 1
says 1
scott 3
see 1
selected 1
sequel 1
series 1
serious 1
several 1
sex 1
she 8
shouldnt 1
simply 1
slides 1
small 1
sports 1
stables 1
starring 2
state 1
station 1
steeplechase 2
stomach 1
story 1
strongly 1
successful 1
sussex 1
swimming 3
tabloid 1
taciturn 1
tasky 1
tatum 1
taylor 2
teenager 2
television 1
that 2
thatd 1
the 39
their 1
them 1
there 1
they 2
things 2
this 2
though 1
threeday 1
to 19
toughest 1
train 1
trainer 1
trainingracing 1
trains 1
trash 1
twelveyearold 1
unsought 1
upcoming 1
uses 1
velvet 18
version 2
victory 1
village 1
voted 1
wanted 1
was 6
watch 1
which 1
while 1
who 4
whom 1
whose 1
will 1
win 3
winning 2
winningpost 1
wins 2
wise 1
with 11
woman 1
women 1
worked 1
working 3
world 3
young 3
