15371841
/m/03m6g7v
/m/03m6g7v
Leonardo Sciascia
1966
{"/m/028v3": "Detective fiction"}
a 6
after 1
although 1
an 1
and 6
anonymous 1
apart 1
apparent 1
are 1
as 1
assumed 1
be 2
becomes 1
before 2
believes 1
but 1
by 2
cannot 1
case 1
companion 1
consequences 1
contains 1
continues 1
corruption 1
crime 1
cuttings 1
daily 1
day 1
death 1
deserved 1
dismissed 1
do 1
does 1
doublehomicide 1
dr 4
engaging 1
entangled 1
escape 1
everybody 1
favourite 1
finds 1
follows 1
for 4
found 1
frighten 1
from 3
gives 1
gossip 1
have 2
he 2
himself 1
his 3
however 1
hunting 1
in 3
initially 1
intended 1
interesting 1
is 5
it 3
joke 1
knowledge 1
known 1
lapse 1
laurana 4
leads 1
letter 4
lives 1
locals 1
long 2
made 1
manno 3
months 1
more 1
motives 1
murder 1
murdered 2
murders 1
newspaper 1
next 1
nobody 1
not 1
notices 1
novel 1
of 4
only 1
opens 1
pastime 1
perpetrators 1
person 1
pharmacist 3
practical 1
prof 1
professor 1
proudly 1
quite 1
reason 1
received 1
receives 1
regarded 1
roscio 1
second 1
short 1
simply 1
solve 1
soon 1
take 1
than 1
that 2
the 22
their 1
thought 1
threat 2
thus 1
time 1
to 4
too 1
town 2
townspeople 1
unicuique 1
up 1
various 1
was 1
web 1
when 3
which 1
with 2
word 1
would 2
