1298894
/m/04qzgh
/m/04qzgh
William Tenn
1958-06
a 1
able 1
across 1
activity 1
advanced 1
algernon 1
alien 2
aliens 1
all 1
also 1
altered 1
and 7
are 4
areas 1
around 1
at 1
attempt 1
attempts 1
beings 1
bend 1
best 1
businessman 1
but 1
by 2
called 1
can 1
cities 1
close 1
colonies 1
come 1
commerce 1
communication 1
confine 1
dangerous 1
dealing 1
dealings 1
decipher 1
deserts 1
despite 1
dramatically 1
dubbed 1
earth 1
efforts 1
emerged 1
encounter 1
enigmatic 1
every 1
factories 1
float 1
for 1
have 1
he 1
hebster 1
highly 3
him 1
his 1
however 1
human 2
humanityprime 1
illegal 1
in 3
intelligent 1
intentions 1
is 6
knowledge 1
large 1
mad 1
made 1
make 1
mankind 1
masters 1
matter 1
merely 1
mostly 1
no 1
observe 1
of 2
on 1
one 1
other 1
owing 1
people 1
perceived 1
prairies 1
primeys 3
problem 1
puts 1
quite 2
reservations 1
residence 1
seemingly 1
several 1
so 1
some 1
spheres 1
standards 1
successful 1
supply 1
take 1
technologies 1
that 2
the 7
their 3
them 2
these 1
they 1
to 9
unsuccessful 1
up 1
use 1
visited 1
visits 1
which 1
who 2
will 1
with 4
world 1
