6998260
/m/0g_knx
/m/0g_knx
Katherine Kurtz
1970
1120 1
a 7
abilities 1
ability 1
about 1
acquire 1
activate 1
activated 1
activates 1
admits 1
advisor 1
after 1
alaric 1
an 2
ancient 1
and 10
answer 1
appears 2
arcane 1
are 2
arrives 1
as 4
assist 1
attack 1
attacks 1
attempt 2
attempts 2
awaken 1
been 2
before 2
begin 1
beginning 1
being 1
believes 1
bloody 1
book 1
both 2
brion 7
but 3
by 2
centuries 1
challenge 1
challenges 1
champion 2
charissa 8
city 1
claim 1
closest 1
clues 2
combat 2
concealed 1
coronation 3
corwyn 1
course 1
cousin 1
cousins 1
covers 1
crowned 1
crypt 1
danger 1
dead 1
deal 1
death 2
decipher 1
defeat 1
defeated 1
defeats 1
defend 1
deryni 8
derynilike 1
designed 1
despite 1
disappointed 1
discover 1
duel 2
duke 3
duncan 1
during 3
easily 1
efforts 2
encounter 1
encounters 1
eventually 1
fact 1
fail 1
fanatical 1
father 2
following 2
for 3
forced 1
form 1
friend 1
from 1
furstnafestila 1
furthermore 1
gwynedd 2
had 1
haldane 4
has 2
hatred 1
have 1
healing 1
heir 1
her 3
heritage 2
herself 1
himself 1
his 12
however 2
hunting 1
immediately 1
imprison 1
in 6
informs 1
intends 1
interrupted 1
is 4
it 1
jehana 4
kelson 15
king 3
known 1
last 1
later 1
leading 1
leaving 1
left 1
line 1
lost 1
magic 1
magical 4
manages 2
mclain 1
monsignor 1
morgan 10
morning 1
mother 1
murdering 1
need 1
newlydiscovered 1
night 2
nonetheless 1
not 1
november 1
now 1
of 12
once 1
outside 1
own 4
palace 1
party 1
period 1
personally 1
possess 1
potential 1
powers 6
pretender 1
prince 3
princess 1
protect 1
proudly 1
queen 1
resumes 1
revealing 1
rhemuth 1
ritual 2
role 1
royal 1
seeing 1
sends 1
seriously 1
shortly 1
son 2
sorceress 3
subject 1
suddenly 1
suspects 1
talent 1
that 8
the 28
they 3
those 2
throne 1
thwart 1
to 18
trait 1
two 1
twoweek 1
unable 1
unravels 1
using 1
was 1
when 1
while 1
who 1
wielded 1
will 1
with 5
wounds 1
