5755031
/m/0f2xvz
/m/0f2xvz
Barbara Mertz
2004
{"/m/02n4kr": "Mystery", "/m/0hwxm": "Historical novel"}
107 1
a 7
action 1
admirer 1
adventurer 1
after 2
aid 1
although 2
amelia 3
an 1
ancient 1
and 10
any 1
ape 1
apparent 1
appears 1
are 2
arrival 1
as 4
assails 1
assistance 1
at 2
attempts 1
attracted 1
avoided 1
awareness 1
back 1
balance 1
be 2
become 1
becomes 2
been 1
begins 1
bombastic 1
book 1
books 1
bring 2
british 1
brought 2
but 2
by 1
camel 1
catches 1
centuries 1
choice 1
chronologically 2
civilization 1
claims 1
company 1
covers 1
curses 1
daoud 1
deposed 1
desert 2
desperate 1
died 1
duplicitous 1
during 1
egyptian 1
emerson 2
emersons 4
endorsement 1
enemy 1
england 1
essential 1
ever 1
expedition 2
experiences 1
family 2
far 1
father 2
feeling 1
find 1
finds 1
first 1
follow 1
for 4
force 1
foreboding 1
forth 1
friend 2
from 2
full 1
girl 1
go 1
group 1
guards 1
guests 1
had 1
hakim 1
halfbrother 1
has 3
have 2
he 3
head 1
help 3
her 5
hero 1
high 1
his 2
home 1
immediately 1
in 11
include 1
indeed 1
interested 2
into 3
intruder 1
is 8
it 6
journey 1
kent 1
king 2
larger 1
last 1
later 1
life 1
lists 1
live 1
longer 1
lost 4
love 1
lured 1
made 1
man 1
many 1
matter 1
meroitic 1
messenger 2
miss 1
mistrust 1
mysterious 1
nefret 4
neutralise 1
no 3
noon 1
normally 1
not 1
now 2
nubian 1
oasis 5
obtain 1
of 8
off 1
old 2
ones 1
only 1
order 1
outcome 1
outside 1
part 1
people 1
period 1
plan 1
plans 1
plays 1
pleading 1
plotting 1
popular 1
position 1
priestess 1
promises 1
published 1
quarters 1
ramses 3
really 1
regime 1
relieved 1
remains 2
rescue 1
resistance 1
resume 1
run 1
secret 1
seduce 1
seemed 1
selim 1
sethos 1
she 1
sitt 1
some 2
soon 1
still 1
story 1
strangely 1
sudan 1
summer 1
survived 1
taken 1
tarek 3
ten 1
than 1
that 8
the 36
their 7
them 3
these 1
they 5
things 1
this 4
though 1
time 2
to 18
too 1
travel 1
trip 1
ultimately 1
unexpected 1
unlike 1
unsuccessfully 1
until 1
up 2
upon 1
usual 1
usurper 1
was 2
were 1
what 1
when 2
where 1
who 8
will 1
with 3
woman 1
world 1
years 2
young 2
younger 1
