24359330
/m/07m_y
/m/07m_y
Jack Vance

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 3
able 1
about 1
adult 1
an 2
and 1
anome 2
anonymous 1
are 4
assistants 1
be 1
because 1
benevolences 1
boy 1
bringing 1
by 5
can 1
cantonal 1
cantons 1
command 1
composed 1
controlled 1
cults 1
death 1
decapitation 1
detonated 1
dictator 1
different 1
do 1
each 1
exploded 1
explosive 1
for 1
growing 1
handful 1
heads 1
his 1
identity 2
in 1
individual 1
instant 1
is 2
it 1
know 1
land 1
law 1
leaders 1
literally 1
local 1
manhood 1
many 1
not 1
of 6
only 1
operate 1
or 1
primarily 1
remote 1
run 1
selected 1
shant 1
society 1
some 1
story 1
tells 1
the 6
themselves 1
those 1
to 2
torc 1
torcs 1
unknown 1
violations 1
wears 1
which 2
who 1
whose 2
wildly 1
with 1
