796009
/m/03cqcj
/m/03cqcj
Fyodor Dostoyevsky
1872

a 3
an 1
and 5
apart 1
area 1
arrested 1
aspiring 2
attempts 1
because 1
but 2
by 2
central 1
committed 1
complies 1
considers 1
conspirator 2
conspirators 1
credit 1
crew 1
denouement 1
each 1
escapes 1
estates 1
falls 1
fellow 1
for 2
former 1
gathers 1
has 1
have 1
he 4
him 1
himself 2
his 5
in 4
is 2
ivan 1
killing 1
kills 1
kirillov 3
knot 1
like 1
loyalty 1
man 1
mankind 1
military 1
misdeeds 1
murder 1
murdering 1
murders 1
nikolai 3
no 1
note 1
novel 2
of 4
on 1
organize 1
other 1
own 1
philosophizing 1
place 1
plans 1
plot 1
primarily 1
provincial 1
pyotr 1
remainder 1
revolutionaries 1
revolutionary 2
russian 1
scheme 1
schemes 1
setting 1
shatov 2
shigalyov 1
solidify 1
son 2
stavrogin 2
stavrogina 2
stepan 2
suicidal 1
suicide 1
sympathy 1
take 1
takes 1
the 9
their 1
thinks 1
to 6
tortured 1
trofimovich 2
varvara 2
verkhovensky 5
virginsky 1
was 1
whatsoever 1
who 2
