549687
/m/02p0dn
/m/02p0dn
Robert Jordan
1992-09-15
a 20
abell 1
ability 1
able 1
access 1
accompany 1
acknowledged 1
across 3
adam 1
aelfinn 1
aes 4
after 6
against 2
age 2
aiel 20
ajah 3
alanna 1
alcair 2
alias 1
all 3
allow 1
allows 1
almeara 1
also 6
althor 3
alvere 1
amathera 1
among 2
amyrlin 4
an 3
ancestors 1
and 50
another 2
answering 1
answers 2
anything 1
are 9
arms 1
around 1
arrival 1
arrives 3
as 8
ashandarei 1
asked 1
asks 1
asmodean 5
assign 1
at 7
avert 1
aviendha 2
aybara 1
back 1
balefire 1
bargain 1
bashere 1
battle 1
battling 1
bayle 1
be 5
because 3
become 2
been 2
before 2
befriend 1
begin 1
beginning 1
believe 2
believing 1
between 3
bid 1
black 4
blademaster 1
book 1
both 4
breaking 2
breaks 2
bridges 1
bring 2
but 3
by 10
call 1
callandor 2
called 1
came 1
can 1
caracarn 2
caught 1
cauthon 2
chain 1
channel 1
characters 1
chases 1
chief 1
chiefs 3
children 2
choedan 1
chooses 1
chronicles 1
city 2
clan 1
cold 3
collect 1
come 2
comes 4
confront 1
confusion 1
constructed 1
cook 1
couladin 2
counterparts 1
creatures 1
crystal 2
customs 1
cutting 1
dal 2
damages 1
damodred 1
dark 2
darkfriend 1
dawn 3
dead 1
decide 2
declare 1
declares 1
defeats 1
defense 1
delaying 1
departure 1
depose 1
deposed 1
did 3
disappearance 1
discourage 1
discovered 1
discovering 2
discovers 2
disguised 1
do 4
domon 1
door 1
doorway 1
dragon 5
drives 1
during 1
eelfinn 1
egeanin 1
egwene 4
elaida 3
elayne 4
elmindreda 1
emerges 1
emptyheaded 1
encounter 1
encounters 1
end 2
enter 3
entered 1
enters 1
equal 1
escape 1
escapes 1
events 1
ever 1
except 1
fades 2
faile 2
fain 1
farshaw 2
few 1
fighting 1
filled 1
final 1
finds 5
first 1
flee 2
fluency 1
follow 3
follows 1
for 8
forced 2
forces 1
former 1
forsaken 5
four 2
fox 1
foxes 1
freedom 1
frees 1
from 9
future 1
game 1
gaps 1
garden 1
gawyn 1
gentled 1
giddy 1
gifted 1
gifts 2
girls 1
gleeman 1
go 3
goes 1
going 3
goldeneyes 1
gone 1
ground 1
grounds 1
group 1
groups 1
guise 1
had 1
hanged 1
hanging 1
has 4
have 4
having 1
he 19
hearing 1
help 3
helping 1
helps 2
her 7
herself 1
hide 1
hides 1
him 9
his 5
history 1
hold 3
home 2
hoping 1
how 1
hunt 1
impostor 1
in 19
inadvertently 1
indeed 1
instead 1
intention 1
into 2
is 19
it 2
jasin 1
join 1
joined 1
just 2
kal 1
keeper 1
keys 1
kill 1
knowledge 1
lanfear 3
laras 1
later 1
lead 1
leads 1
leane 3
learns 1
leaving 1
led 1
legends 2
life 1
light 1
lightning 1
limiting 1
live 2
lives 1
logain 1
long 1
longer 1
lord 2
luc 2
mad 1
made 1
maiden 1
main 1
major 1
makes 1
male 2
manage 1
many 1
markings 1
marries 1
mat 7
mathwin 1
means 1
medallion 1
meet 1
memory 1
men 1
merchants 3
merrilin 1
min 6
moghedien 3
moiraine 6
most 2
mosvani 1
namesake 1
natael 1
neck 1
no 1
not 2
noted 1
now 1
nynaeve 6
of 47
off 2
old 1
on 6
once 2
one 12
ones 3
only 1
oppose 1
others 2
out 4
padan 1
palace 1
panarch 1
party 1
paternal 1
people 3
perrin 7
plants 1
plotlines 1
point 1
portal 1
portions 1
possession 1
power 6
powerful 1
previous 1
previously 1
price 1
prison 1
prompted 1
protagonists 1
protects 1
prove 1
proving 2
questions 2
rainstorm 1
raised 1
rand 21
reborn 3
recognized 1
relives 1
reluctant 1
remains 2
remove 1
report 2
rescue 1
resolve 1
return 1
returns 1
reveal 1
reveals 1
revive 1
rhuidean 5
riding 1
rising 1
rivers 6
rocks 3
rumors 1
saangreal 1
sammael 2
sanche 1
sang 1
scarf 1
scars 1
seals 1
seanchan 1
searching 1
seat 1
secret 1
sedai 4
seeking 3
selene 1
semirhage 1
send 1
sends 1
sent 1
served 1
setting 1
shadow 2
shadowspawn 1
shaido 3
sharif 1
she 1
shields 1
showing 1
shunned 1
similar 1
since 3
siuan 5
slayer 2
snake 1
snakes 1
some 2
something 2
song 1
spear 2
speculates 1
split 1
stilling 1
stone 7
storm 1
stormed 1
strong 1
success 1
suitors 1
supporters 1
survives 1
sword 1
taardad 1
taken 1
talk 1
tam 1
tanchico 1
tar 1
tarabon 2
task 1
teach 1
teaching 1
tear 7
tells 1
temaile 1
terangreal 7
than 1
that 14
the 130
their 3
them 4
themselves 1
then 2
there 1
these 1
they 13
this 2
thom 1
those 1
three 1
threehooped 1
through 2
thus 1
time 1
tinkers 1
titles 1
to 60
together 1
tongue 1
tormenting 1
toward 1
tower 5
traitor 1
trakand 2
transport 1
travel 1
traveling 1
tree 1
trial 1
tries 1
trollocs 4
trouble 1
true 1
truly 1
try 1
two 7
unable 1
unsure 1
up 1
uproar 1
use 1
used 1
uses 3
using 1
valon 1
various 1
verin 1
victory 1
villagers 1
violence 2
visit 1
visited 1
waiting 1
walks 1
war 1
waste 4
way 2
wears 1
well 1
what 1
when 1
where 2
whereas 1
which 1
while 1
white 2
who 9
whom 3
will 3
winning 1
wise 4
with 16
within 1
without 1
woman 1
working 1
world 2
