33750421
/m/0hhrh7g
/m/0hhrh7g
Nicholas Sparks
2005-10-18
4 1
a 21
about 7
accidentally 1
adds 1
admit 1
after 10
again 4
all 2
alone 1
along 1
alvin 7
amniotic 1
an 4
analyzing 1
and 51
angered 1
angry 1
anguish 1
anonymous 3
any 2
anyone 1
anything 1
apologizing 1
appointment 1
are 3
argument 2
as 3
at 2
attach 1
avoids 1
away 1
baby 5
bachelor 1
back 5
band 1
be 3
because 1
become 1
been 5
begins 2
believer 1
best 2
between 1
birth 1
book 5
books 1
boone 4
both 2
briefly 1
but 3
buying 1
by 3
came 1
can 1
cancels 1
capable 1
car 1
case 1
character 1
checks 1
child 1
city 3
claire 1
closing 1
column 2
columns 1
comfort 1
coming 1
conceive 1
confronts 2
console 1
couple 2
creek 4
crying 1
daughter 1
day 3
days 1
deceased 2
decided 2
decides 1
definitely 1
deformities 1
delivers 1
despite 1
dies 1
dinner 1
discovers 1
distress 1
do 1
documentation 1
does 1
doesnt 2
done 1
doris 1
dorris 8
down 1
each 1
earlier 1
early 1
elses 1
email 3
emails 3
end 3
established 1
even 3
ever 1
everything 1
expecting 1
experience 1
explained 1
explaining 1
explains 1
fact 1
fails 1
family 2
father 2
fear 1
featured 1
feeling 2
feels 3
few 2
fills 1
finally 1
find 1
finding 1
finds 5
first 1
flight 1
for 13
freaks 1
friend 4
friends 1
from 4
furious 1
future 1
get 4
gets 2
giving 2
go 1
goes 1
going 2
gone 1
grandmother 2
grandmothers 1
had 8
hands 1
has 3
hasnt 1
have 6
having 2
he 14
heading 1
hear 1
heated 2
help 1
her 17
hes 1
him 5
himself 3
his 9
holding 1
home 1
hopes 1
house 5
how 3
however 1
if 3
immediately 2
impression 1
in 18
inability 1
inform 1
initials 1
inspiration 3
instead 1
interested 1
into 1
is 11
it 9
its 3
jeremy 36
jeremys 3
journal 2
keep 1
knew 1
know 2
knowing 2
labor 1
last 1
later 5
learn 1
learns 1
leaves 2
leaving 2
lexie 28
lexies 3
lexis 3
lied 2
life 1
like 2
local 1
long 2
longtime 2
magazine 1
make 2
making 2
married 3
marrying 1
may 1
mention 1
mess 1
met 1
might 1
mind 1
miscarriage 2
moments 2
more 1
morning 1
motel 1
mother 1
move 2
name 1
named 1
never 2
new 9
newborn 1
news 2
next 2
not 4
nothing 3
novel 2
numerous 1
odds 1
of 21
off 1
offer 2
on 5
once 2
one 1
only 3
or 2
other 2
out 2
outside 1
over 5
paired 1
parent 1
parents 1
particular 1
party 1
people 2
period 1
plans 1
possible 1
predicting 1
prediction 1
pregnancy 3
preparing 1
previous 3
problem 1
problems 1
proposal 1
psychic 1
quickly 1
rachel 6
racing 1
ran 1
receives 2
records 1
referring 1
relationship 1
reminding 1
residents 1
return 1
returns 2
rodney 10
rodneys 2
runs 1
rut 1
said 1
say 1
saying 2
says 1
searches 1
second 1
secret 2
seeing 1
sender 1
setting 1
sex 1
she 14
short 3
shows 1
sight 1
simply 1
sitting 1
someone 1
something 1
sometime 1
specialty 1
spend 1
spilled 1
starts 1
staying 1
still 2
story 1
stress 1
successfully 1
such 2
suggests 1
supposed 1
suspecting 1
suspicious 1
talk 2
talking 1
tell 3
telling 2
tells 1
ten 1
that 18
thats 1
the 42
their 6
them 1
then 2
there 2
they 7
thing 1
things 1
thinks 1
third 1
this 10
though 1
threatened 1
through 1
time 7
times 1
to 37
told 3
town 1
tries 2
true 1
try 1
turns 1
two 2
ultrasound 1
unable 1
until 3
up 6
visited 1
waited 1
wakes 1
want 2
wants 1
was 8
wasnt 2
way 1
wedding 2
weeks 2
went 2
were 3
werent 1
what 3
when 8
where 3
which 1
who 3
whole 1
why 1
widowed 1
with 9
without 1
wonderful 1
working 1
worried 1
would 1
write 4
writing 1
wrong 2
years 3
yet 2
york 4
you 2
yours 1
