16315793
/m/03wgs8f
/m/03wgs8f
Richard Price
2008-03-04
a 5
accosted 1
accounts 1
affected 1
an 1
and 7
are 1
arrested 1
as 1
at 1
back 1
bartender 1
becomes 1
begins 1
behavior 2
billy 1
book 1
but 2
by 1
cash 2
clark 1
come 1
complications 1
coping 1
crime 3
detective 1
difficulty 1
distraught 1
drinking 1
dufresne 1
east 2
echoing 1
eric 1
erratic 1
expands 1
eye 1
father 1
first 1
for 1
friend 1
from 1
has 1
have 1
he 1
his 2
home 1
ike 2
immigrants 1
in 3
incident 1
increasingly 1
initially 1
interrogation 1
interwoven 1
into 1
investigating 1
is 4
its 1
keeping 1
killed 1
later 1
lived 1
lower 2
main 1
manager 1
manhattan 1
manner 1
marcus 2
marcusare 1
matty 1
memory 1
mencafe 1
muggers 1
murder 1
nicole 1
night 1
nypd 1
of 10
on 2
other 1
over 1
own 2
plot 1
police 1
quickly 1
reallife 1
released 1
seems 1
set 1
shot 1
side 2
straightforward 1
stresses 1
tenements 1
that 2
the 15
there 1
thicket 1
three 1
through 1
two 1
up 2
vignettes 1
waves 1
way 1
when 1
whose 1
winds 1
with 3
witnesses 1
years 1
