1505514
/m/056kzg
/m/056kzg
Spider Robinson
1989-05-01
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 7
about 1
accept 1
addiction 1
after 1
alley 1
allowed 1
also 1
ambiance 1
an 3
and 8
are 3
as 1
becoming 1
been 1
befriend 1
being 1
books 1
brings 1
brothel 2
but 3
by 1
callahan 2
character 1
client 1
close 1
colt 1
combat 1
comes 1
concept 1
context 1
convinces 1
counterfeit 1
course 1
danger 1
dark 1
defeat 1
defeating 1
die 1
different 1
do 2
doing 1
down 1
duties 1
eighteen 1
employee 1
enjoys 1
enough 1
even 1
everyone 1
facility 1
fact 1
falls 1
fifty 2
find 1
focus 1
focuses 3
for 3
forced 1
fortunately 1
friend 2
fully 1
functioning 1
german 1
had 1
hand 2
has 2
he 1
healed 1
help 1
her 7
home 1
horribly 1
importantly 1
in 7
incident 1
incidents 1
into 1
is 9
issues 1
it 1
its 1
keeping 1
lady 3
last 1
later 1
let 2
like 1
love 1
main 1
man 1
many 4
maureen 11
medical 1
most 1
nearby 1
needs 1
night 1
nobody 1
nonsexual 1
not 2
notice 1
of 4
old 2
on 4
one 2
oppose 1
or 1
other 1
over 1
phillip 2
pimp 3
place 1
plot 2
possible 1
presents 1
professor 1
puns 1
puts 1
quick 1
quiet 1
realize 1
reasons 1
rejected 1
rest 1
safety 1
sally 4
seems 1
selfloathing 1
series 1
seriously 1
severe 1
sexual 1
she 5
shepherd 1
skips 1
something 1
sometimes 1
specific 1
stabbed 1
staff 1
stay 2
storyline 1
streetwalker 1
subsequent 1
swiftly 1
take 1
talking 1
tell 1
that 6
the 17
their 1
there 1
they 4
things 1
this 3
though 1
thousand 2
threats 1
three 1
to 9
tracks 1
treated 1
underage 2
unusual 1
uses 1
varied 1
various 1
very 2
visitors 1
walking 1
ways 1
werebeagle 2
where 1
who 2
will 1
wish 2
with 2
wits 1
workday 1
