9123472
/m/027yhw1
/m/027yhw1
Margaret Mahy
1985
a 24
abortion 1
about 6
actually 3
affair 1
africa 3
after 4
agrees 1
also 1
ambulance 1
an 4
and 41
angel 1
angela 31
angry 2
any 1
are 4
arrives 1
arriving 1
as 4
asks 3
at 5
bank 1
bar 2
be 7
bearing 1
became 1
because 1
bedroom 1
been 3
before 1
behave 1
believes 1
better 1
between 1
biological 1
birth 1
bought 1
box 1
bridge 1
brother 1
burns 1
bursts 1
buses 1
but 12
buy 2
cafe 1
call 3
called 1
calls 3
car 5
catches 1
chance 1
changed 2
chase 4
cherry 1
child 1
children 1
claimed 1
clear 2
cocktails 1
collect 1
come 1
comes 1
company 1
confront 1
could 1
dangerous 1
daughter 1
decide 1
decides 1
degraded 1
did 2
dido 11
discuss 1
dismisses 1
dissuade 1
do 1
does 4
door 1
down 2
drive 2
enters 1
establishment 1
even 2
evening 1
event 1
eventually 2
excuse 1
expensive 1
explodes 1
extremely 1
fact 1
fallen 1
family 6
father 6
feel 1
fight 1
find 2
finds 2
finished 1
follows 1
for 5
friends 1
from 3
garden 1
get 4
girlfriend 1
given 2
gives 1
go 5
going 1
grandmother 4
grass 1
had 11
hanging 1
happened 3
has 10
have 6
having 3
he 9
her 48
herself 1
him 14
his 11
home 3
hospital 1
house 3
how 3
however 4
husband 2
if 1
ill 1
immediately 1
implies 1
important 1
in 8
indeed 1
injured 1
inside 1
insisting 1
insists 2
instead 1
intending 1
interested 2
into 2
introduces 1
investigate 1
involved 1
ionians 1
is 11
it 4
jerry 4
jupiter 1
just 2
kept 1
know 3
large 1
later 1
learning 1
leave 2
leaves 3
leaving 1
left 3
legend 1
lift 1
liked 1
live 1
look 1
looking 1
love 1
make 1
makes 1
man 3
manages 1
many 2
married 2
may 3
meanwhile 1
meeting 2
men 1
mess 1
met 1
mind 2
money 3
moons 1
more 1
morning 2
mother 10
name 1
neighbours 1
never 2
newborn 1
night 2
no 2
not 14
nothing 1
notices 1
notion 1
now 2
obvious 1
occultation 1
of 11
off 4
offering 1
office 2
official 1
on 5
only 1
other 1
out 4
own 1
owner 1
party 1
paternal 1
people 2
phil 2
phone 3
play 1
pleased 1
pregnant 1
present 1
pretence 1
previously 1
ran 1
realise 1
receive 1
received 1
receives 2
refuses 2
relationship 1
remember 1
reporter 1
resemblance 1
response 1
returned 1
returns 1
reveals 1
richard 2
rings 1
river 2
road 2
roland 5
rough 1
rule 1
run 2
said 1
same 1
saving 1
school 1
scythe 1
secret 1
see 4
seeing 1
seems 1
sees 2
sends 1
several 1
sex 1
share 2
shares 1
she 21
show 1
sight 1
sister 3
slope 2
so 2
some 1
something 4
somewhere 1
son 1
soon 1
spend 1
stands 1
staying 1
still 1
story 2
subsequent 1
suddenly 1
sunday 1
table 1
taken 2
takes 2
teases 1
telephone 1
tell 3
telling 2
tells 4
that 13
the 47
their 1
then 2
there 4
they 11
things 1
think 1
this 3
though 2
thought 1
through 1
thrown 1
to 43
together 1
trapped 1
tries 1
trimming 1
truant 1
try 1
tshirt 1
turns 4
two 8
tycho 24
unable 1
unaware 1
under 1
up 5
upset 1
used 1
uses 1
using 1
veer 1
vehicle 2
virgin 1
visit 1
wait 2
waiting 1
wakes 1
walk 1
walking 1
want 3
wanted 1
wanting 1
was 5
way 3
well 2
went 2
what 4
when 2
where 3
which 1
whilst 1
who 3
why 1
will 1
wishes 4
with 12
work 1
would 3
yet 1
