10504199
/m/02qg2pj
/m/02qg2pj
Ed Kelleher
1998
15 1
a 16
about 1
accelerating 1
admiring 1
after 3
agent 1
aid 1
aids 1
alex 16
allows 1
alone 1
also 1
an 3
and 24
annoyance 1
another 1
anything 1
are 5
as 3
at 4
attempts 1
attraction 1
attractive 4
aubrey 1
avail 1
away 1
baby 1
back 2
bar 2
beach 1
beauty 1
bed 1
before 2
being 1
birthday 1
blurs 1
bored 2
boyfriend 1
break 1
but 1
by 5
call 1
calls 2
can 1
carlo 1
castle 1
casual 1
caught 1
charles 1
clear 1
cliff 2
cliffs 1
club 1
clubbing 1
cocaine 1
comes 1
confesses 1
cottage 2
country 1
craves 1
cricket 1
cultural 1
dancing 1
danny 16
dealer 1
death 1
desire 1
didnt 1
died 1
diego 1
dinner 1
doing 2
dorset 1
drinking 1
drives 1
driving 2
drug 3
drugs 1
ecstasy 2
edge 2
encounter 1
end 1
ends 1
escort 1
estate 1
eventually 1
everyone 1
exboyfriend 1
explains 1
father 2
filled 1
financial 1
fired 1
first 1
flashback 1
flashes 1
followed 1
for 3
forward 1
friend 1
friends 1
from 1
gay 3
george 2
get 1
gets 1
given 1
go 1
goes 5
going 4
guard 1
had 1
hanging 1
has 4
have 1
he 23
hector 1
him 6
his 15
holiday 1
home 2
hotel 1
house 5
househunting 1
how 2
hugh 1
if 2
in 12
into 4
introduced 1
is 16
it 4
jane 1
job 2
justin 8
kiss 1
knowledge 1
knows 1
lack 1
lars 2
later 10
let 1
like 1
little 1
local 1
looking 1
looks 1
love 2
lover 2
main 1
make 2
man 2
many 1
meets 2
meetup 1
men 4
more 1
most 1
mother 1
neighbor 1
new 2
nice 1
nick 2
nightclub 1
no 1
nocturnal 1
not 1
novel 2
of 7
off 1
older 1
on 3
only 1
or 1
organizing 1
over 2
partner 1
parts 1
party 4
past 1
perhaps 1
pick 1
picturesque 1
pill 1
play 2
playing 1
pleasures 1
plot 1
pops 1
pregnant 1
prior 1
proceeds 1
protagonist 1
quickly 2
quit 1
raves 1
related 1
relationship 1
research 1
restaurant 1
returns 2
right 1
robin 12
round 1
san 1
says 2
scares 1
scrabble 1
security 2
see 2
seeing 1
separated 1
sex 2
sexual 1
she 2
simon 1
slept 1
soho 2
son 1
stable 1
standing 1
states 1
station 1
stay 1
stopping 2
street 1
suggests 1
surprise 1
sylvan 1
take 2
takes 1
talk 1
tells 3
terry 3
that 3
the 23
their 4
them 1
then 3
there 3
they 8
this 1
to 25
together 2
toilet 1
tony 1
towards 1
two 1
united 1
unsure 1
up 2
use 1
visit 2
visiting 1
walk 1
walks 3
wants 2
was 1
waste 1
were 1
when 1
where 5
whilst 3
who 1
with 11
wonders 1
young 1
younger 1
youth 1
